player,position,team_name,player_game_count,grades_defense,snap_counts_defense,snap_counts_dl,,Avg Grade
Justin Hamilton,DI,DEN,9,47.3,249,248,,
DeShawn Williams,DI,DEN,15,56.2,386,386,,
Stephen Weatherly,ED,DEN,15,52.5,344,341,,
Pita Taumoepenu,ED,DEN,2,78,3,2,,
Dre'Mont Jones,DI,DEN,16,57.8,614,611,,
Jonathon Cooper,ED,DEN,16,69.1,457,447,,
Marqui Christian,CB,CHI,9,41,127,0,,
DeAndre Houston-Carson,S,CHI,13,79.4,420,11,,
Anthony Brown,CB,DAL,17,66,1111,4,,
Derek Watt,FB,PIT,1,60,1,0,,
Kamu Grugier-Hill,LB,HST,14,44.2,778,69,,
Maurice Canady,CB,DAL,6,64.8,70,2,,
Elandon Roberts,LB,MIA,17,54.1,620,12,,
Kevon Seymour,CB,BLT,6,38.8,247,3,,
Will Parks,S,NYJ,3,78.7,91,4,,
McTelvin Agim,DI,DEN,7,43.4,90,90,,
Jalen Mills,CB,NE,16,67.5,914,29,,
Jayron Kearse,S,DAL,17,75.9,1073,176,,
Clayton Fejedelem,S,MIA,5,60,17,2,,
Tyler Matakevich,LB,BUF,9,75.9,59,3,,
Joe Walker,LB,ARZ,8,66.2,55,1,,
Mike Hilton,CB,CIN,21,70.2,1031,34,,
Jarrod Wilson,S,SF,7,54.6,184,9,,
Matthias Farley,S,TEN,8,81.1,58,0,,
Andre Mintze,ED,DEN,4,55.6,64,63,,
Bradley Chubb,ED,DEN,7,45,268,266,,
Aaron Patrick,ED,DEN,6,47,52,52,,
Sharrod Neasman,S,NYJ,9,53.8,226,8,,
Patrick Onwuasor,LB,LV,1,59.9,2,0,,
Malik Reed,ED,DEN,14,55.9,737,717,,59.98823529
Charles Washington,S,ARZ,1,73.7,4,0,,
Stephen Anderson,TE,LAC,1,60,1,0,,
Marquiss Spencer,DI,DEN,1,55.5,14,14,,
Jonathan Harris,DI,DEN,3,46.7,71,71,,
Cory Littleton,LB,LV,16,47.8,693,19,,
Michael Brockers,DI,DET,16,41.1,622,622,,
Jonathan Jones,CB,NE,6,50.7,224,0,,
Ken Crawley,CB,NO,3,35.6,16,0,,
Andrew Adams,S,TB,9,78.4,217,11,,
Dont'e Deayon,CB,LA,11,68,492,0,,
Nick Williams,DI,DET,17,50.3,622,621,,
Trey Flowers,ED,DET,7,63.2,302,296,,
Kevin Peterson,CB,ARZ,4,60.7,119,0,,
Romeo Okwara,ED,DET,4,73.3,188,182,,
Charles Harris,ED,DET,17,68.3,871,849,,
Antonio Hamilton Sr.,CB,ARZ,11,65.4,313,3,,
Rashod Berry,ED,DET,5,44.6,62,62,,
Jashon Cornell,DI,DET,1,57.2,4,4,,
Jamal Adams,S,SEA,12,60.1,872,114,,
Marshon Lattimore,CB,NO,16,77.3,999,2,,
Austin Bryant,ED,DET,14,54.5,436,431,,
Levi Onwuzurike,DI,DET,16,43.2,396,395,,
Malik Hooker,S,DAL,16,70.4,474,35,,
Marlon Humphrey,CB,BLT,12,65.9,746,17,,
Julian Okwara,ED,DET,13,67.7,361,335,,
Adoree' Jackson,CB,NYG,13,74.9,815,6,,
Jarrad Davis,LB,NYJ,9,28.6,209,43,,
Eric Banks,DI,DET,3,32.4,34,34,,
Jabrill Peppers,S,NYG,6,58.7,229,32,,
Bruce Hector,DI,DET,3,62.6,52,52,,
Tre'Davious White,CB,BUF,11,65.7,630,5,,
John Penisini,DI,DET,16,56.3,276,275,,
Alim McNeill,DI,DET,17,60.1,422,422,,58.4
Kevin King,CB,GB,11,71,311,2,,
Jessie Lemonier,ED,DET,7,51.1,161,160,,
Budda Baker,S,ARZ,18,64.6,1080,38,,
Marcus Maye,S,NYJ,6,55.9,362,13,,
Marcus Williams,S,NO,16,80.1,1037,1,,
Sidney Jones IV,CB,SEA,12,70.2,730,11,,
Whitney Mercilus,ED,GB,11,61.2,323,318,,
Preston Smith,ED,GB,17,81.5,732,716,,
Teez Tabor,S,CHI,5,63.5,112,0,,
Za'Darius Smith,ED,GB,2,56.1,37,31,,
Zach Cunningham,LB,TEN,15,62.9,689,50,,
Kenny Clark,DI,GB,17,75.4,828,823,,
Chidobe Awuzie,CB,CIN,18,75.5,1043,4,,
Josh Jones,S,SEA,3,54.9,73,5,,
Dean Lowry,DI,GB,18,66.8,718,718,,
