player,position,team_name,player_game_count,grades_defense,snap_counts_defense,snap_counts_dl,,Avg Grade
Shaquil Barrett,ED,TB,17,81,861,839,,
Rakeem Nunez-Roches,DI,TB,18,65.3,477,476,,
Patrick O'Connor,DI,TB,8,60.1,46,44,,
Cam Gill,ED,TB,10,34.6,109,109,,
Anthony Nelson,ED,TB,19,69.3,399,390,,
Vita Vea,DI,TB,18,74.4,670,670,,
Benning Potoa'e,DI,TB,1,57,9,9,,
Joe Tryon-Shoyinka,ED,TB,19,50.5,608,571,,59.00909091
Caraun Reid,DI,TEN,1,43.8,12,12,,
Denico Autry,ED,TEN,18,69.7,755,755,,
K.J. Britt,LB,TB,3,53.2,28,0,,
Isaiah McDuffie,LB,GB,1,60,1,0,,
Mykal Walker,LB,ATL,16,71.3,194,52,,
Monty Rice,LB,TEN,6,56.1,179,0,,
Del'Shawn Phillips,LB,NYJ,13,38.1,161,33,,
Jamin Davis,LB,WAS,16,46.8,581,63,,
Patrick Queen,LB,BLT,17,43.5,826,47,,
Jacob Phillips,LB,CLV,4,62.4,123,2,,
Bud Dupree,ED,TEN,12,53.3,440,439,,
Willie Gay,LB,KC,15,66.5,554,104,,
Jeremiah Owusu-Koramoah,LB,CLV,14,76.5,597,58,,
Pete Werner,LB,NO,14,79.9,394,39,,
Baron Browning,LB,DEN,10,54.9,528,6,,
Kenneth Murray Jr.,LB,LAC,11,34,363,113,,
Derrick Barnes,LB,DET,16,30.1,448,12,,
Buddy Johnson,LB,PIT,1,38.6,6,0,,
Kyle Peko,DI,TEN,9,60.4,168,168,,
Derick Roberson,ED,TEN,5,80.7,86,86,,
Michael Carter II,CB,NYJ,15,53.7,777,17,,
James Pierre,CB,PIT,12,58.1,415,3,,
Grant Delpit,S,CLV,15,63.3,599,18,,
Tyree Gillespie,S,LV,3,72.5,13,1,,
Darren Hall,CB,ATL,11,46.3,283,0,,
Garret Wallow,LB,HST,10,33.9,180,13,,
Kenny Robinson,S,CAR,7,60.2,182,4,,
Noah Gray,TE,KC,1,60,1,0,,
Noah Igbinoghene,CB,MIA,3,52.2,78,0,,
Amari Rodgers,WR,GB,1,70.2,1,0,,
Mark Webb Jr.,S,LAC,2,51.4,6,0,,
JaCoby Stevens,LB,PHI,1,24.1,44,0,,
Donovan Peoples-Jones,WR,CLV,1,60,1,0,,
Jaelon Darden,WR,TB,1,60,1,0,,
CeeDee Lamb,WR,DAL,1,70.2,1,0,,
Tylan Wallace,WR,BLT,1,60,1,0,,
Caleb Farley,CB,TEN,3,45.7,60,0,,
Christian Elliss,LB,PHI,1,73.3,7,0,,
Rashad Weaver,ED,TEN,2,43.5,12,12,,
Rondale Moore,WR,ARZ,1,70.2,1,0,,
Amani Bledsoe,ED,TEN,5,56.6,88,88,,
Michael Joseph,S,CHI,1,59.9,3,0,,
Jeffery Simmons,DI,TEN,18,72,991,989,,
Naquan Jones,DI,TEN,14,46.5,356,356,,
Jonathan Owens,S,HST,5,73.1,168,2,,
Tavierre Thomas,CB,HST,15,77.6,639,17,,
Asante Samuel Jr.,CB,LAC,12,56.4,693,1,,
Andre Cisco,S,JAX,11,67.9,247,19,,
Trill Williams,CB,MIA,1,63.3,4,0,,
Chris Claybrooks,CB,JAX,9,48.4,199,2,,
Caden Sterns,S,DEN,14,59.2,311,0,,
Da'Shawn Hand,DI,TEN,4,61.8,93,93,,
Harold Landry III,ED,TEN,18,63.3,1043,942,,57.9
Kevin Strong,DI,TEN,7,56.1,77,77,,
Zaven Collins,LB,ARZ,14,66.5,228,45,,
Tre'von Moehrig,S,LV,18,71,1214,0,,
Ar'Darius Washington,CB,BLT,3,63.7,7,0,,
Mac McCain III,CB,PHI,1,67.9,11,0,,
Nick Bolton,LB,KC,19,72.5,732,40,,
Micah Parsons,LB,DAL,17,89.7,960,390,,
Ernest Jones,LB,LA,13,61.4,519,30,,
Olasunkanmi Adeniyi,ED,TEN,15,62.9,216,214,,
Davion Taylor,LB,PHI,9,38.6,250,4,,
Larrell Murchison,DI,TEN,11,59.5,200,200,,
Teair Tart,DI,TEN,11,59.2,344,344,,
Akeem Spence,DI,WAS,1,59.7,5,5,,
Nate Orchard,ED,WAS,1,60,1,1,,
Matt Ioannidis,DI,WAS,16,65.4,608,607,,
Jonathan Allen,DI,WAS,17,84.9,772,771,,
Montez Sweat,ED,WAS,10,75.6,483,482,,
Casey Toohill,ED,WAS,16,49.1,361,356,,
Shaka Toney,ED,WAS,10,49.9,117,115,,
Jerry Jacobs,CB,DET,11,65.8,535,9,,
Kelvin Joseph,CB,DAL,6,71.2,165,0,,
Rachad Wildgoose,CB,NYJ,2,64.8,2,0,,
Pat Surtain II,CB,DEN,16,66.1,900,1,,
Jamien Sherwood,LB,NYJ,5,59.7,139,25,,
Tyson Campbell,CB,JAX,15,62.7,864,9,,
Greg Newsome II,CB,CLV,12,68.1,691,5,,
Jaycee Horn,CB,CAR,3,67.8,142,0,,
Israel Mukuamu,S,DAL,2,64,20,1,,
Jevon Holland,S,MIA,16,84.7,893,83,,
Talanoa Hufanga,S,SF,16,63.7,399,20,,
Brandon Aiyuk,WR,SF,1,59.9,1,0,,
Will Bradley-King,ED,WAS,3,40.4,59,59,,
Olubunmi Rotimi,ED,WAS,9,47,204,202,,
James Smith-Williams,ED,WAS,14,56.9,388,386,,
Kyle Dugger,S,NE,16,69.7,779,63,,
Bobby Price,CB,DET,9,52,152,0,,
Tevaughn Campbell,CB,LAC,16,56.9,678,5,,
Ashton Dulin,WR,IND,1,62.1,1,0,,
E.J. Speed,LB,IND,14,51.5,146,14,,
Daron Payne,DI,WAS,17,63.9,837,836,,62.45384615
Anthony Pittman,LB,DET,5,36.5,76,14,,
Jody Fortson,TE,KC,1,59.9,1,0,,
Gunner Olszewski,WR,NE,1,70.2,1,0,,
Brandin Echols,CB,NYJ,14,45,762,7,,
Nahshon Wright,CB,DAL,5,45.7,92,0,,
Daniel Wise,ED,WAS,6,59.6,139,139,,
Jarren Williams,CB,NYG,5,71.1,194,2,,
Tim Settle,DI,WAS,16,70.1,210,209,,
Chase Young,ED,WAS,9,75.1,477,473,,
