player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,,Team Avg
Spencer Burford,81920,G,SF,16,50.3,26.7,62.9,,
Jon Feliciano,9561,G,SF,13,79.8,63.5,85.6,,67.81666667
Cody Mauch,66637,G,TB,19,43.9,52.1,37.6,,
Robert Hainsey,59980,C,TB,19,50.2,57.3,50.3,,
Luke Goedeke,77548,T,TB,19,73.4,72.5,70,,
Tristan Wirfs,64818,T,TB,19,83.5,86.1,73.8,,
Aaron Stinnie,28653,G,TB,14,56.5,53.7,58.9,,61.5
Aaron Brewer,46014,C,TEN,17,71.6,52.5,78.7,,
Peter Skoronski,129737,G,TEN,14,61.6,63.5,58.6,,
Dillon Radunz,30551,T,TEN,13,67.2,59.7,78.7,,
Daniel Brunskill,34807,G,TEN,14,67.1,67.7,62.5,,66.875
Sam Cosmi,60114,G,WAS,17,80.6,74,80.9,,
Andrew Wylie,12333,T,WAS,15,69.2,67.5,66.1,,
Charles Leno Jr.,8880,T,WAS,13,72.5,77.8,62,,
Saahdiq Charles,59820,G,WAS,11,55.5,53.9,55.4,,
Nick Gates,29476,C,WAS,12,66.1,61.4,70.9,,68.78
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Jared Goff,10635,QB,DET,20,85.7,,60.3,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Sam LaPorta,101690,TE,DET,20,77,59.9,53.9,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Cade Otton,61071,TE,TB,19,56.8,47.4,51.7,,
George Kittle,11901,TE,SF,19,87.7,70.6,81.1,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Amon-Ra St. Brown,84470,WR,DET,19,91.2,39.2,70.1,,
,,,,,,,,,
,,,,,,,,,
Brock Purdy,77672,QB,SF,19,87.4,,60,,
,,,,,,,,,
,,,,,,,,,
Alec Pierce,78038,WR,IND,17,58.1,66.3,66.1,,
Jordan Love,40306,QB,GB,19,83.6,62.2,60,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DeVonta Smith,61100,WR,PHI,17,75.4,,45.1,,
David Njoku,11784,TE,CLV,17,68.2,67.5,54.4,,
Cole Kmet,60995,TE,CHI,17,73.7,64.3,54.9,,
Baker Mayfield,46518,QB,TB,19,77.2,,60,,
Josh Allen,46601,QB,BUF,19,92.1,,60,,
,,,,,,,,,
,,,,,,,,,
A.J. Brown,48327,WR,PHI,17,90,80.3,51,,
,,,,,,,,,
,,,,,,,,,
Matthew Stafford,4924,QB,LA,16,88.2,,60.1,,
DJ Moore,48267,WR,CHI,17,89.3,,64.1,,
Patrick Mahomes,11765,QB,KC,20,90.5,60.9,60.9,,
Tua Tagovailoa,60326,QB,MIA,18,86.9,,60,,
,,,,,,,,,
Brandon Aiyuk,84109,WR,SF,19,91.5,66.8,72.9,,
Tyler Higbee,10744,TE,LA,16,57.6,67.6,54.2,,
Dak Prescott,10769,QB,DAL,18,90,,60.2,,
Bryce Young,123943,QB,CAR,16,56,,60,,
Josh Reynolds,11872,WR,DET,20,70.1,61.6,70.3,,
Daniel Bellinger,84041,TE,NYG,17,49.1,45.4,56.9,,
Lamar Jackson,46416,QB,BLT,18,90.4,,60.2,,
,,,,,,,,,
Durham Smythe,47257,TE,MIA,17,53.7,61.2,50.2,,
Foster Moreau,47043,TE,NO,15,55.3,52.3,51,,
Michael Pittman Jr.,29049,WR,IND,16,77.7,75.1,53.3,,
,,,,,,,,,
Puka Nacua,100632,WR,LA,18,90.2,72,78.1,,
C.J. Stroud,129759,QB,HST,17,83.1,61.3,60.2,,
Gardner Minshew,41401,QB,IND,16,62,,60.3,,
Darnell Washington,124044,TE,PIT,18,47.4,66.7,53.2,,
Adam Trautman,109795,TE,DEN,17,53.2,62.1,60.1,,
,,,,,,,,,
Zay Flowers,97268,WR,BLT,18,76.3,,63,,
Trevon Wesco,42018,TE,TEN,15,49.8,61.2,56.3,,
,,,,,,,,,
Patrick Ricard,48862,FB,BLT,19,58.9,62.8,64.1,,
Gabe Davis,55410,WR,BUF,17,67.9,65.3,49.8,,
,,,,,,,,,
Tucker Kraft,104034,TE,GB,19,60.4,70.3,48.7,,
,,,,,,,,,
Stefon Diggs,9579,WR,BUF,19,79.1,,59.2,,
Adam Thielen,8288,WR,CAR,17,72.7,46.5,42.9,,
George Pickens,99229,WR,PIT,18,74.1,,61.8,,
,,,,,,,,,
Dallas Goedert,47272,TE,PHI,15,71,79.7,73.4,,
Davante Adams,8688,WR,LV,17,79.1,,49.4,,
Allen Robinson II,8696,WR,PIT,18,52.8,61.3,57.8,,
Romeo Doubs,84329,WR,GB,19,73.6,,55.4,,
Jalen Hurts,40291,QB,PHI,18,86.7,,60,,
Drake London,86519,WR,ATL,16,78.9,,56.7,,
Trey McBride,75916,TE,ARZ,17,76.3,55.1,62.3,,
Desmond Ridder,55086,QB,ATL,15,51.9,61.3,60.3,,
Derek Carr,8671,QB,NO,17,77.2,,61,,
Noah Gray,60878,TE,KC,21,62.9,47.6,56.6,,
,,,,,,,,,
Jake Ferguson,61081,TE,DAL,18,74.5,73.1,59.6,,
,,,,,,,,,
Jakobi Meyers,47468,WR,LV,16,69.9,71.8,36.7,,
Jonathan Mingo,97774,WR,CAR,15,54.7,76.4,70.6,,
Trevor Lawrence,77632,QB,JAX,16,79.7,60.9,61.1,,
MyCole Pruitt,9576,TE,ATL,17,59.4,64.2,46.8,,
Kyle Juszczyk,7912,FB,SF,20,56,74.8,56.6,,
,,,,,,,,,
Russell Wilson,7077,QB,DEN,15,77.5,,60,,
Amari Cooper,9437,WR,CLV,16,79.9,68.1,57.8,,
,,,,,,,,,
CeeDee Lamb,61570,WR,DAL,18,90.9,,54.3,,
Michael Mayer,122906,TE,LV,14,58.3,51.9,47.6,,
,,,,,,,,,
Brock Wright,60994,TE,DET,16,48,64,45.9,,
Dalton Schultz,47304,TE,HST,17,71.5,61.1,59.7,,
Darius Slayton,25578,WR,NYG,17,67.5,68.1,46.3,,
Josh Oliver,47083,TE,MIN,17,75.1,57.6,73.9,,
Chris Godwin,11839,WR,TB,19,77.5,73.3,53.9,,
Travis Kelce,7844,TE,KC,19,82.6,77.9,46.9,,
Elijah Moore,84302,WR,CLV,18,58.9,0,42.3,,
Mike Evans,8642,WR,TB,19,81.5,,41.4,,
,,,,,,,,,
Jack Stoll,42058,TE,PHI,18,50.8,51.2,63.6,,
Cooper Kupp,11824,WR,LA,13,71.5,69.5,67.5,,
,,,,,,,,,
Drew Sample,47259,TE,CIN,17,60,68.1,61.5,,
Deebo Samuel,48274,WR,SF,18,85.4,65.9,60.3,,
Chris Manhertz,10211,TE,DEN,16,56.5,73.1,58.5,,
,,,,,,,,,
Calvin Ridley,48262,WR,JAX,17,71.4,,50.2,,
Luke Farrell,42353,TE,JAX,17,58.1,67.6,49.6,,
Sam Howell,97599,QB,WAS,17,60.3,,60.1,,
,,,,,,,,,
Tommy Tremble,84025,TE,CAR,16,55.6,62,45.5,,
Geno Smith,7820,QB,SEA,15,82.9,,60.5,,
Khalil Shakir,84140,WR,BUF,19,76.7,69.9,56.6,,
Garrett Wilson,97405,WR,NYJ,17,72.9,,56.1,,
Marcedes Lewis,2973,TE,CHI,17,77.1,68.4,73.7,,
John Bates,42275,TE,WAS,17,51.8,79,60,,
Pharaoh Brown,12247,TE,NE,17,73.3,60.1,63.3,,
,,,,,,,,,
Joshua Dobbs,11890,QB,MIN,13,65.9,,60.6,,
Marquise Brown,61568,WR,ARZ,14,67.1,,48.3,,
Rashod Bateman,84296,WR,BLT,18,61,,60.5,,
Courtland Sutton,48164,WR,DEN,16,75.6,80.7,66.3,,
Jordan Addison,123000,WR,MIN,17,68.6,,45.9,,
