player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,,Team Avg
Henry To'oTo'o,98982,LB,HST,1,60,,60,,
Blake Whiteheart,77881,TE,ARZ,1,58.6,,60,,
Nolan Smith,99014,ED,PHI,1,60,63.8,,,
Rick Lovato,10007,LS,PHI,1,60,61.5,,,
Matt Henningsen,56484,DI,DEN,1,60,,60,,
Patrick Johnson,56460,ED,PHI,1,60,62.7,,,
Chase Lucas,42833,CB,DET,1,60,,60,,
Dean Marlowe,9966,S,LAC,1,60,,60,,
Nathan Peterman,11926,QB,CHI,2,58.4,,60,,
Hunter Kampmoyer,42701,TE,LAC,1,60,,65.6,,
Krys Barnes,42548,LB,ARZ,1,60,,60,,
Tyrion Davis-Price,99169,HB,SF,1,60.3,,60,,
Rashad Weaver,42495,ED,TEN,1,60,,60,,
Amen Ogbongbemiga,42449,LB,LAC,1,60,,60,,
Neville Hewitt,9836,LB,HST,1,60,,60,,
Dee Winters,99376,LB,SF,1,60,,60,,
Joshua Pryor,153400,ED,WAS,1,60,,60,,
JoJo Domann,42446,LB,TEN,1,60,,60,,
Mike Brown,56054,S,TEN,1,60,,60,,
David Mayo,9602,LB,WAS,1,60,,60,,
Jon Weeks,5800,LS,HST,1,60,,60,,
Qadree Ollison,45934,HB,PIT,1,60,,60,,
Amare Barno,99780,ED,CAR,2,59,,60,,
Harrison Butker,11988,K,KC,1,60,,60,,
Ja'Sir Taylor,55426,CB,LAC,1,60,,60,,
Adam Butler,12214,DI,LV,1,60,,60,,
Tuli Tuipulotu,131840,ED,LAC,1,60,,60,,
,,,,,,,,,
Garret Wallow,60761,LB,TEN,1,60,,60,,
Caleb Johnson,12488,LB,JAX,1,60,63.8,,,
Nick Muse,61079,TE,MIN,1,89.2,,60,,
Kyle Trask,39987,QB,TB,2,86,,60,,
Otis Reese IV,83219,LB,TEN,1,60,,60,,
Daiyan Henley,61500,LB,LAC,1,60,,60,,
Ben VanSumeren,82523,LB,PHI,1,60,62.7,,,
Cameron Thomas,82387,ED,ARZ,1,60,67.2,,,
Claudin Cherelus,52094,LB,CAR,1,60,62.7,,,
Scott Daly,18793,LS,DET,1,60,,60,,
Mitchell Fraboni,38930,LS,DEN,1,60,,60,,
Ryan Stonehouse,52045,P,TEN,1,60,,60,,
Johnny Johnson III,61588,WR,HST,1,54.9,,60,,
JK Scott,38809,P,LAC,1,60,,60,,
James Robinson,22425,HB,GB,1,59.1,,60,,
Terrell Bynum,61804,WR,LAC,1,60,,60,,
Alex Cook,61805,S,CAR,1,60,,60,,
Teddy Bridgewater,8667,QB,DET,1,60.6,,60,,
Tae Davis,26296,LB,CAR,1,60,,60,,
,,,,,,,,,
Trent Sieg,27036,LS,DAL,1,60,63.8,,,
Nicholas Morrow,51674,LB,PHI,1,60,62.7,,,
Siran Neal,27130,CB,BUF,1,60,,60,,
Jacob Bobenmoyer,30352,LS,LV,1,60,,60,,
Sam Martin,7947,P,BUF,1,60,,60,,
Andre Chachere,51194,S,ARZ,1,60,,60,,
Marcelino McCrary-Ball,51112,LB,NYJ,1,60,62.7,,,
Theo Jackson,62919,S,MIN,1,60,,60,,
Shaquille Quarterman,51048,ED,JAX,1,60,62.7,,,
Tyrel Dodson,51045,LB,BUF,1,60,,60,,
D'Angelo Ross,27732,CB,HST,1,60,,60,,
Josh Harris,7748,LS,LAC,1,60,,60,,
Ekow Boye-Doe,76742,CB,KC,1,60,,60,,
Daniel Carlson,28121,K,LV,1,60,,60,,
,,,,,,,,,
Luke Gifford,50675,LB,TEN,1,60,,60,,
Jabril Cox,30669,LB,WAS,1,60,,60,,
Mitchell Tinsley,123470,WR,WAS,1,56.8,,60,,
Isaiah Oliver,50393,CB,SF,1,60,,60,,
Oren Burks,50203,LB,SF,1,60,,60,,
Samuel Womack III,65771,CB,SF,1,60,,60,,
Zaire Franklin,49834,LB,IND,2,60.1,68.5,,,
Ashtyn Davis,49560,S,NYJ,3,61.3,63.8,,,
Ka'dar Hollman,49446,CB,HST,1,60,,60,,
Cam Lewis,49395,S,BUF,1,60,,60,,
Deane Leonard,124140,CB,LAC,1,60,,60,,
Blake Lynch,47621,LB,LAC,1,60,,60,,
Ross Matiscik,34710,LS,JAX,1,60,61.5,,,
Andrew Wingard,49268,S,JAX,1,60,63.8,,,
Demetrius Flannigan-Fowles,49231,LB,SF,1,60,,60,,
Stanley Morgan,48110,WR,CIN,1,54.5,,60,,
Wil Lutz,11096,K,DEN,1,60,,60,,
Jack Gibbens,57662,LB,TEN,1,60,,60,,
Chandler Wooten,57726,LB,CAR,1,60,62.7,,,
Antonio Hamilton Sr.,11353,CB,ARZ,1,60,,60,,
Lucky Jackson,29557,WR,MIN,3,57.5,,60,,
J.P. Holtz,11062,TE,NO,1,60,,60,,
Reid Ferguson,10965,LS,BUF,1,60,,60,,
Tyler Matakevich,10880,LB,BUF,1,60,,60,,
Taybor Pepper,11748,LS,SF,1,60,,60,,
Dwayne Washington,10870,HB,DEN,1,60,,60,,
Evan Hull,97302,HB,IND,1,65.7,,60,,
Nic Jones,97327,CB,KC,1,60,,60,,
Kendall Sheffield,34105,CB,TEN,1,60,,60,,
K'Lavon Chaisson,57945,ED,JAX,1,60,62.7,,,
Zonovan Knight,97432,HB,DET,2,62.1,76.7,,,
DeAndre Houston-Carson,10819,S,HST,1,60,,60,,
Terrell Burgess,45255,S,WAS,1,60,,60,,
Anthony McFarland Jr.,57289,HB,PIT,2,64.9,68.5,,,
