player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
SirVocea Dennis,99767,LB,TB,10,64.7,104,,
Calijah Kancey,99822,DI,TB,16,49.7,663,,
Yaya Diaby,122705,ED,TB,19,60.8,590,,61.19642857
Denico Autry,8982,ED,TEN,17,61.7,767,,
Kyle Peko,11027,DI,TEN,13,38.6,342,,
Jaleel Johnson,11864,DI,TEN,12,54,270,,
Shyheim Carter,25451,S,TEN,2,56.7,24,,
Dane Cruikshank,25546,S,TEN,1,60,1,,
Sean Murphy-Bunting,25891,CB,TEN,14,57.6,840,,
Kendall Sheffield,34105,CB,TEN,2,82.5,24,,
Trevis Gipson,35241,ED,TEN,7,89.6,76,,
K'Von Wallace,42467,S,TEN,13,68.1,807,,
Rashad Weaver,42495,ED,TEN,15,50.7,240,,
Kristian Fulton,42894,CB,TEN,11,46.4,644,,
Jeffery Simmons,43742,DI,TEN,12,68.4,657,,
Ross Blacklock,44526,DI,TEN,4,49.6,69,,
Harold Landry III,48600,ED,TEN,17,64.6,840,,
Marlon Davidson,48741,DI,TEN,5,59.2,163,,
Taylor Stallworth,48935,DI,TEN,1,59.7,6,,
Azeez Al-Shaair,49792,LB,TEN,17,64.7,1101,,
Arden Key,50201,ED,TEN,17,69.4,727,,61.19444444
Luke Gifford,50675,LB,TEN,3,41.8,8,,
Terrell Edmunds,51334,S,TEN,15,63,475,,
Amani Hooker,51378,S,TEN,13,67.5,867,,
Mike Brown,56054,S,TEN,8,60.3,113,,
Tre Avery,56146,CB,TEN,11,44.2,360,,
Elijah Molden,56290,S,TEN,15,55.9,700,,
Quinton Bohanna,56673,DI,TEN,6,59.1,113,,
Jayden Peevy,56876,DI,TEN,1,55,4,,
Jack Gibbens,57662,LB,TEN,14,71.2,628,,
Matthew Jackson,57797,S,TEN,1,64.1,2,,
Garret Wallow,60761,LB,TEN,3,67.5,48,,
Keondre Coburn,76928,DI,TEN,5,66,107,,
Chance Campbell,81295,LB,TEN,1,33.2,5,,
Roger McCreary,83176,CB,TEN,15,71.3,934,,
Otis Reese IV,83219,LB,TEN,3,76.9,90,,
Eric Garror,83274,CB,TEN,9,59.7,350,,
TK McLendon Jr.,150239,DI,TEN,7,47.5,101,,
Caleb Murphy,169634,ED,TEN,2,57.8,4,,
Anthony Kendall,169860,S,TEN,2,61.3,3,,
David Mayo,9602,LB,WAS,9,55.7,349,,
Efe Obada,10235,ED,WAS,5,44,98,,
Kendall Fuller,10718,CB,WAS,15,83.1,1020,,
Jonathan Allen,11772,DI,WAS,16,59.7,867,,
Jabril Cox,30669,LB,WAS,1,60.1,1,,
Abdullah Anderson,32708,DI,WAS,7,64.8,113,,
Casey Toohill,38472,ED,WAS,16,52.1,494,,
Christian Holmes,43393,CB,WAS,1,64.7,33,,
De'Jon Harris,43858,LB,WAS,2,30,3,,
Terrell Burgess,45255,S,WAS,5,49.6,120,,
James Smith-Williams,48455,ED,WAS,13,58.6,418,,
Daron Payne,48698,DI,WAS,17,61.2,924,,
Khaleke Hudson,49073,LB,WAS,13,64.6,405,,
Danny Johnson,49379,CB,WAS,8,49,208,,
Benning Potoa'e,50195,DI,WAS,1,51.7,28,,
Cody Barton,50727,LB,WAS,13,53.9,844,,
Sean Chandler,51315,S,WAS,1,59.7,63,,
Darrick Forrest,55087,S,WAS,5,61.1,328,,
Tariq Castro-Fields,55689,CB,WAS,1,29.4,21,,
Kamren Curl,55800,S,WAS,16,66.6,1088,,
Benjamin St-Juste,56061,CB,WAS,16,59.9,1063,,
Jalen Harris,56321,ED,WAS,5,59.3,87,,
Andre Jones Jr.,56395,ED,WAS,9,52.6,171,,
Phidarian Mathis,56504,DI,WAS,10,42.7,202,,
Jamin Davis,57905,LB,WAS,13,67.6,742,,
John Ridgeway,66694,DI,WAS,17,39.5,355,,54.71304348
KJ Henry,76808,ED,WAS,9,56.9,281,,
Jartavius Martin,83236,S,WAS,12,65.4,365,,
Percy Butler,83271,S,WAS,15,62.7,835,,
Kyu Blu Kelly,100375,CB,WAS,3,43,20,,
Emmanuel Forbes,124166,CB,WAS,14,50.9,482,,
Joshua Pryor,153400,ED,WAS,1,58.9,1,,
Nick Whiteside,169772,CB,WAS,1,55.3,15,,
