player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
DeMarcus Walker,11806,ED,CHI,17,59.1,714,,
Eddie Jackson,11867,S,CHI,12,58.6,646,,
Dylan Cole,24304,LB,CHI,2,50.1,3,,
Montez Sweat,27271,ED,CHI,17,74.8,764,,
T.J. Edwards,30737,LB,CHI,17,79.6,1042,,
Khalid Kareem,42993,ED,CHI,1,67.7,26,,
Rasheem Green,48731,ED,CHI,17,50.6,385,,
Justin Jones,48940,DI,CHI,17,49.3,740,,
Greg Stroman Jr.,49354,CB,CHI,5,66.6,150,,
Jaylon Jones,49374,CB,CHI,11,61.8,148,,
Tremaine Edmunds,50905,LB,CHI,15,56.6,876,,
Elijah Hicks,55584,S,CHI,14,46.2,487,,
Josh Blackwell,55589,CB,CHI,3,28.5,21,,
Jaylon Johnson,56259,CB,CHI,14,90.8,809,,
A.J. Thomas,56309,S,CHI,1,62.6,6,,
Dominique Robinson,61436,ED,CHI,11,35.3,242,,
Quindell Johnson,76689,S,CHI,3,57.4,35,,
Jack Sanborn,82566,LB,CHI,17,67.3,412,,
Terell Smith,83302,CB,CHI,11,69.6,377,,
Kyler Gordon,83451,CB,CHI,13,65.6,646,,
Tyrique Stevenson,97562,CB,CHI,16,60.2,830,,
Zacch Pickens,98911,DI,CHI,17,54.9,264,,
Jaquan Brisker,101665,S,CHI,15,66.7,896,,
Gervon Dexter Sr.,124374,DI,CHI,17,50.9,433,,59.11538462
Noah Sewell,131722,LB,CHI,5,86.5,27,,
DJ Reader,10800,DI,CIN,14,82.2,535,,
Mike Hilton,10898,CB,CIN,17,77.4,876,,
Sidney Jones IV,11798,CB,CIN,2,46.8,25,,
Chidobe Awuzie,11815,CB,CIN,15,62.6,722,,
Trey Hendrickson,11858,ED,CIN,17,82.3,742,,
Josh Tupou,12093,DI,CIN,14,52.1,287,,
Germaine Pratt,29407,LB,CIN,17,63.3,975,,
Logan Wilson,29623,LB,CIN,17,62.6,1068,,
Akeem Davis-Gaither,34788,LB,CIN,11,58.7,98,,
Devin Harper,42494,LB,CIN,3,70,5,,
Joe Bachie,43250,LB,CIN,6,55.5,10,,
