player,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,Average Grade
AJ Dillon,HB,GB,18,86.2,57.7,48.5,75,,
Tyler Davis,TE,GB,12,57.5,69.4,70.2,72,,
Amari Rodgers,WR,GB,12,60.6,65.9,61.3,58,,
Tytus Howard,G,HST,15,51.4,70.1,42.5,927,,
Charlie Heck,T,HST,15,56,66.5,41.1,827,,
Max Scharping,G,HST,16,59.9,53.8,60.4,689,,
Justin Britt,C,HST,11,63.9,53.7,70.5,671,,
Ben Cleveland,G,BLT,8,55.8,54.8,56.6,367,,
Geron Christian,T,HST,12,59.5,78.8,39.6,588,,
Dennis Kelly,T,GB,6,72.4,73.6,71.2,361,,
Jack Conklin,T,CLV,7,78.8,63.8,86,361,,
Justin McCray,G,HST,12,51,32.7,59.2,545,,60.96666667
Pharaoh Brown,TE,HST,15,48,44.4,60.1,393,,
Davis Mills,QB,HST,13,58.5,,60.3,265,,
Josh Myers,C,GB,7,54.9,65.9,49.4,349,,
Brandin Cooks,WR,HST,16,77.4,,52.5,262,,
Chris Conley,WR,HST,16,60.5,74,56,261,,
Antony Auclair,TE,HST,16,55.7,43.1,56.2,260,,
Nico Collins,WR,HST,14,65.6,,65,153,,
Jordan Akins,TE,HST,13,52.5,32.6,45.7,108,,
J.C. Hassenauer,C,PIT,9,68.3,69.6,66.3,345,,
Chris Moore,WR,HST,11,68.3,72.6,69.7,103,,
Rashod Hill,T,MIN,6,42.7,39.3,47.6,342,,
David Johnson,HB,HST,13,60.4,34.4,54.9,60,,
Rex Burkhead,HB,HST,16,65.4,45.3,70.5,54,,
Royce Freeman,HB,HST,13,58,58.9,41.3,34,,
Andre Dillard,T,PHI,8,69.6,71.7,65.4,340,,
Ryan Kelly,C,IND,14,56.9,57.2,58.1,907,,
Eric Fisher,T,IND,15,68.2,61,73.3,874,,
Mark Glowinski,G,IND,16,70.1,62.6,70.6,843,,
Quenton Nelson,G,IND,13,69.1,62,70.4,767,,
Braden Smith,T,IND,11,80.6,70.8,86,711,,
Trent Scott,G,CAR,8,39.6,28.6,51.1,335,,
Chris Reed,G,IND,12,67.2,55.5,69.5,522,,
Matt Pryor,T,IND,14,76.5,75.2,74.8,438,,
Carson Wentz,QB,IND,17,70.9,,60.4,436,,
Michael Pittman Jr.,WR,IND,17,78,66.3,56.1,373,,
Jack Doyle,TE,IND,17,71.2,68.3,75,356,,
Mo Alie-Cox,TE,IND,17,66.4,64,71.3,341,,
Zach Pascal,WR,IND,16,52.7,,55.5,337,,
Danny Pinter,C,IND,11,74.7,46,78.4,225,,67.29285714
Ashton Dulin,WR,IND,17,59.9,,50.2,194,,
Kylen Granson,TE,IND,17,58.7,72.4,56.2,124,,
Joe Haeg,T,PIT,9,67.2,74.1,54.7,319,,
Netane Muti,G,DEN,8,59,52,59.3,317,,
Jonathan Taylor,HB,IND,17,87.1,31.2,55.5,112,,
T.Y. Hilton,WR,IND,10,70.1,,62.3,99,,
Nyheim Hines,HB,IND,17,72.7,47.1,57,66,,
Jawaan Taylor,T,JAX,17,60.4,72,42.8,1083,,
Andrew Norwell,G,JAX,17,66.7,73.5,62.7,1077,,
Lane Taylor,G,HST,5,39.7,49.3,36.8,311,,
Cam Robinson,T,JAX,14,67.4,76.6,52.5,856,,
Ben Bartch,G,JAX,14,62.1,52.8,63.1,705,,
Tyler Shatley,C,JAX,10,60.6,61.3,61.8,531,,59.48333333
James Hudson III,T,CLV,6,57.3,57.9,61.8,303,,
Andrus Peat,G,NO,6,52.1,20.1,62.1,303,,
Trevor Lawrence,QB,JAX,17,59.6,,60,327,,
Marvin Jones Jr.,WR,JAX,17,68.3,76.4,38.9,314,,
Chris Manhertz,TE,JAX,17,62.6,64.2,73.5,280,,
Laviska Shenault Jr.,WR,JAX,16,63.7,77.7,74.1,203,,
Oday Aboushi,G,LAC,5,68.2,70.6,68.9,298,,
Ben Bredeson,G,NYG,7,56.2,22.7,75.7,294,,
Laquon Treadwell,WR,JAX,12,72,75.2,84.3,181,,
Luke Farrell,TE,JAX,15,48,66.2,65.1,145,,
Dan Arnold,TE,JAX,11,62.5,32.2,36.6,94,,
Tavon Austin,WR,JAX,13,60.2,,61,72,,
James Robinson,HB,JAX,14,67.4,53,67.3,70,,
Cam Fleming,T,DEN,5,71.7,65,71.8,285,,
Jamal Agnew,WR,JAX,10,65.6,,56.1,61,,
Carlos Hyde,HB,JAX,12,53.8,45.7,47.4,52,,
Dare Ogunbowale,HB,JAX,12,45.2,17.8,59.5,37,,
Trey Smith,G,KC,20,72.7,61.5,78.2,1404,,
Joe Thuney,G,KC,20,81.2,90.5,70.6,1394,,
Creed Humphrey,C,KC,20,91.8,79.1,93.1,1394,,
Orlando Brown Jr.,T,KC,19,75.4,74.4,68.4,1337,,
Andrew Wylie,T,KC,12,62.3,56.2,70.4,737,,
Lucas Niang,T,KC,11,64.6,59.1,70,523,,
Patrick Mahomes,QB,KC,20,80.1,,60.5,417,,
Travis Kelce,TE,KC,19,85,70.8,62.8,305,,
Tyreek Hill,WR,KC,20,86,,63.3,275,,
Blake Bell,TE,KC,19,69.1,70.5,70.2,269,,
Julie'n Davenport,T,IND,5,45.3,28.8,62,278,,
Demarcus Robinson,WR,KC,20,51.9,79.6,41.2,222,,
Mecole Hardman Jr.,WR,KC,20,70.2,,59.2,189,,
Byron Pringle,WR,KC,20,65.2,66.2,74.8,184,,
Noah Gray,TE,KC,18,51.8,82.2,70,164,,
Nick Allegretti,G,KC,10,81.8,89,66.8,79,,70.9
Josh Gordon,WR,KC,12,45.5,,59.2,76,,
Michael Burton,FB,KC,19,82.1,85.8,61.9,75,,
Darrel Williams,HB,KC,19,66.8,40.4,68.8,52,,
Marcus Kemp,WR,KC,18,50.7,,60.6,46,,
Jerick McKinnon,HB,KC,15,65,87.4,43.4,36,,
Clyde Edwards-Helaire,HB,KC,12,65.6,49.3,59.8,35,,
Derrick Gore,HB,KC,10,76,75.2,59.1,15,,
Jermaine Eluemunor,G,LV,4,59.8,67,52.4,266,,
David Edwards,G,LA,21,68.4,70.7,65.1,1365,,
Austin Corbett,G,LA,21,69.6,63.1,68.5,1360,,
Rob Havenstein,T,LA,19,83.4,77.5,82.2,1236,,
Laremy Tunsil,T,HST,5,60.8,75.2,45,262,,
Brian Allen,C,LA,20,74.8,62.4,79.7,1181,,
Andrew Whitworth,T,LA,18,87.2,89.8,74.2,1102,,
Cooper Kupp,WR,LA,21,93,40.2,80.9,477,,
Matthew Stafford,QB,LA,21,86.1,,60,474,,
Jimmy Morrissey,C,HST,4,45,20,56.8,258,,
Tyler Higbee,TE,LA,18,69.1,72,62.7,444,,
Van Jefferson,WR,LA,21,58.5,66.8,45.1,382,,
Odell Beckham Jr.,WR,LA,18,74.8,,49,307,,
Saahdiq Charles,G,WAS,8,67.6,62.3,79.2,253,,
Joe Noteboom,T,LA,10,77.7,81.6,68.5,279,,
Coleman Shelton,C,LA,10,59.5,56.3,58.9,227,,71.7
Kendall Blanton,TE,LA,15,50.7,65.5,46.2,142,,
Ben Skowronek,WR,LA,16,53.7,,69.9,109,,
Sony Michel,HB,LA,21,63.1,66.1,59.9,74,,
Darrell Henderson,HB,LA,13,69.3,79.1,60,67,,
Matt Feiler,G,LAC,16,74,62.2,78.5,1119,,
Tommy Kraemer,G,DET,6,55.5,66,53.2,238,,
Rashawn Slater,T,LAC,16,83.6,80.3,80.2,1116,,
Storm Norton,T,LAC,16,60.3,44.9,75.5,1078,,
Corey Linsley,C,LAC,16,85.7,84.9,84.6,1076,,
Michael Schofield III,G,LAC,14,66.8,75.2,59.5,907,,70.98333333
Justin Herbert,QB,LAC,17,90,,60,368,,
Keenan Allen,WR,LAC,16,77.5,,63.7,283,,
Mike Williams,WR,LAC,16,77.6,,51,275,,
Donald Parham Jr.,TE,LAC,14,69.2,54.4,63.1,228,,
Stephen Anderson,TE,LAC,17,62.9,67.3,55.2,220,,
Tre' McKitty,TE,LAC,11,53.4,53.6,54.8,178,,
Sua Opeta,G,PHI,7,72.9,62.9,74.8,229,,
Joshua Palmer,WR,LAC,17,62.6,71.8,46.5,146,,
Jalen Guyton,WR,LAC,16,57.4,,55.4,144,,
Jared Cook,TE,LAC,16,61.9,28.1,49.8,131,,
Austin Ekeler,HB,LAC,16,75.3,57.8,58.8,70,,
Justin Jackson,HB,LAC,13,63.1,23.4,60,28,,
Frank Ragnow,C,DET,4,86.7,73.9,90.2,223,,
Walker Little,T,JAX,7,68.5,70,61.7,223,,
Joshua Kelley,HB,LAC,10,51.5,77.5,60,27,,
Kolton Miller,T,LV,18,85,85.1,77.9,1216,,
Jordan Mills,T,NO,5,47.8,56.2,44.4,221,,
Andre James,C,LV,18,64.8,68.6,61.8,1216,,
John Simpson,G,LV,18,53,64.1,45.9,1189,,
Alex Leatherwood,G,LV,18,45.5,31.3,62.2,1181,,
Brandon Parker,T,LV,15,55.9,55,57.1,958,,58.66666667
Foster Moreau,TE,LV,18,56.4,46.6,57,419,,
Derek Carr,QB,LV,18,77.6,,61.4,391,,
Marcus Cannon,T,HST,4,66.6,69.9,59.1,213,,
