player,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,Average Grade
Micah Hyde,S,BUF,4,60,,60,10,,
Greg Dortch,WR,ARZ,4,63.5,,59,10,,
Chris Streveler,QB,ARZ,2,50.8,,60,10,,
D.J. Montgomery,WR,NYJ,3,58,,79.8,9,,
Josh Hammond,WR,JAX,2,55.7,,60.2,9,,
Antonio Gandy-Golden,WR,WAS,4,52.6,,55.6,9,,
Jordan Franks,TE,CLV,1,60.5,,59.6,9,,
Adrian Peterson,HB,SEA,4,61.1,78.6,60,9,,
Keke Coutee,WR,IND,2,51.4,,58.1,9,,
Sean Mannion,QB,MIN,1,68.9,,60,9,,
Alex Bachman,WR,NYG,2,47.2,,50.4,9,,
Vyncint Smith,WR,NYJ,2,51.5,,59.3,9,,
Trent Taylor,WR,CIN,4,69.5,66.2,56.1,9,,
Deon Yelder,TE,TB,2,41.6,0,56.6,9,,
Devin Asiasi,TE,NE,1,59.2,70.1,59.5,9,,
Marlon Mack,HB,IND,6,56.4,82.2,60,8,,
Parker Ehinger,G,DET,1,47.6,71,62.5,8,,
Austin Walter,HB,NYJ,4,61.1,82.5,60,8,,
Matt Bushman,TE,LV,1,53.6,,58.4,8,,
Jonathan Williams,HB,WAS,5,74.6,24,60,8,,
Stephen Sullivan,TE,CAR,3,43,20.7,61.8,8,,
Ryan Nall,HB,CHI,6,71,76.9,70.6,8,,
Frank Darby,WR,ATL,4,74,,77.6,8,,
Marcus Mariota,QB,LV,9,58.2,,60,8,,
Mike Boone,HB,DEN,4,58.7,21.2,60,8,,
Simi Fehoko,WR,DAL,2,60,,60,7,,
Christian Wilkins,DI,MIA,6,64.3,62,55.2,7,,
Miller Forristall,TE,CLV,2,53.7,,59.8,7,,
Malcom Brown,DI,JAX,5,52.2,,53.3,7,,
Johnny Stanton,FB,CLV,3,61.7,43.2,67,7,,
Isaiah Williams,G,NYJ,1,34.6,75.6,52.7,7,,
Nick Martin,C,LV,3,36.6,69.6,56,7,,
David Moore,WR,GB,2,51.8,,61.6,7,,
Jon Toth,G,WAS,1,54.3,0,65.4,7,,
Kevin Hogan,QB,TEN,1,60,,60,7,,
Ryan Fitzpatrick,QB,WAS,1,38.9,,60,7,,
Jake Funk,HB,LA,6,53.6,78.7,60,7,,
Rodney Smith,HB,CAR,2,64.7,47.9,,6,,
Chad Henne,QB,KC,4,30.8,,60,6,,
John Brown,WR,TB,5,51.6,,61,6,,
Jake Hanson,C,GB,2,62.8,79.2,60,6,,
Marquez Stevenson,WR,BUF,3,60,,60,6,,
Prince Tega Wanogho,T,KC,2,58.5,,57,6,,
Kahale Warring,TE,JAX,2,52.8,,60.7,6,,
Jackson Barton,T,LV,2,52.9,75,51,6,,
Jake Brendel,C,SF,2,59.8,69,59.1,6,,
Tarik Black,WR,NYJ,1,56.2,,61,6,,
Easop Winston Jr.,WR,NO,3,55.8,,58.9,6,,
Andre Roberts,WR,LAC,7,58.4,,60.7,6,,
J.J. Taylor,HB,NE,5,58.4,67.1,60,6,,
Trayveon Williams,HB,CIN,2,68.4,,60,5,,
Zach Banner,T,PIT,4,50.1,69.6,49.4,5,,
Minkah Fitzpatrick,S,PIT,4,60,,60,5,,
Steven Sims,WR,PIT,1,60.9,,61,5,,
Brenden Jaimes,G,LAC,1,75.2,,72.6,5,,
Aaron Banks,G,SF,1,56.9,,57.1,5,,
Feleipe Franks,QB,ATL,7,27.1,,60.1,5,,
Lester Cotton,G,LV,1,58.5,73.4,57.6,5,,
Kylin Hill,HB,GB,4,55.5,77.2,60,5,,
Cullen Gillaspia,FB,NYG,4,60.2,63.8,59.9,5,,
Matt LaCosse,TE,NE,1,56,61.5,60.1,5,,
Rodney Adams,WR,CHI,1,39.1,,60.4,5,,
Scottie Phillips,HB,HST,2,49.4,29.7,,4,,
La'Mical Perine,HB,NYJ,3,55.4,69.1,59.8,4,,
Ben Braden,T,GB,2,56.9,,54.3,4,,
Logan Stenberg,G,DET,2,55.1,,56.1,4,,
Scott Daly,LS,DET,3,60,87,60,4,,
JoJo Natson,WR,CLV,3,53.8,,60.4,4,,
Anthony Pittman,LB,DET,3,60,99.9,60,4,,
Matt Orzech,LS,LA,4,60,99.9,60,4,,
Andy Isabella,WR,ARZ,5,57,,60.6,4,,
Reggie Bonnafon,HB,CAR,1,60.5,53.9,,4,,
Brandon Powell,WR,LA,3,60,,60,4,,
K.J. Hill,WR,LAC,4,67,,60,4,,
Jason Huntley,HB,PHI,1,52.4,67.1,59.7,4,,
Marcus Henry,G,ARZ,1,58.2,72.5,53.1,4,,
Gary Brightwell,HB,NYG,5,54.7,63.8,57.2,4,,
Jalen Reeves-Maybin,LB,DET,2,60,88.3,60,3,,
Wayne Gallman,HB,MIN,6,63.2,19.9,,3,,
Davion Davis,WR,HST,2,60.9,,60.3,3,,
Daurice Fountain,WR,KC,2,57.5,,60,3,,
Cody Thompson,WR,SEA,2,59.3,,60,3,,
Kyle Murphy,T,NO,1,61,75.3,,3,,
Chase Daniel,QB,LAC,1,60.8,,60,3,,
JaQuan Hardy,HB,DAL,2,70,,60,3,,
Dan Chisena,WR,MIN,6,54.3,,59.6,3,,
Jermar Jefferson,HB,DET,6,69.3,30.9,60,3,,
Ryquell Armstead,HB,JAX,2,58.8,,60,3,,
Hunter Kampmoyer,TE,LAC,1,66.4,,67.2,3,,
C.J. Beathard,QB,JAX,2,95,,60,3,,
Nakia Griffin-Stewart,TE,KC,1,46.7,,48.5,3,,
Isaiah Hodgins,WR,BUF,1,58.9,,60,3,,
Brandon Knight,T,DAL,1,59.8,,59.1,3,,
Kirk Merritt,WR,MIA,1,56.4,,60,3,,
Ian Bunting,TE,DAL,1,60,,60,3,,
Ito Smith,HB,DAL,1,66,,60,3,,
Michael Hoecht,DI,LA,3,60,95.1,60,3,,
Mason Kinsey,WR,TEN,1,59.1,,55.6,3,,
Kenjon Barner,HB,TB,1,49.6,,60,3,,
Deon Jackson,HB,IND,3,61.4,,60,3,,
C.J. Moore,S,DET,3,67.2,99.9,,3,,
Logan Woodside,QB,TEN,5,62.5,,60,3,,
Anthony McFarland Jr.,HB,PIT,2,51,,60,3,,
Victor Dimukeje,ED,ARZ,2,60,37.9,60,2,,
Leki Fotu,DI,ARZ,2,60,63.8,60,2,,
John Hightower,WR,PHI,1,60.1,,60,2,,
Troy Reeder,LB,LA,2,60,62.7,60,2,,
Sam Eguavoen,LB,MIA,2,60,62.7,60,2,,
Cory Littleton,LB,LV,2,60,,60,2,,
Josh Woods,LB,DET,1,60,62.7,60,2,,
Rashaad Coward,G,PIT,1,60,75.7,,2,,
Darius Bradwell,HB,LAC,1,36.1,17.1,,2,,
Davis Webb,QB,BUF,1,60.8,,60,2,,
Jaryd Jones-Smith,T,BLT,1,60,72.9,,2,,
Darian Thompson,S,DAL,2,60,63.8,60,2,,
Trent Sieg,LS,LV,2,60,,60,2,,
Blake Ferguson,LS,MIA,2,60,61.5,60,2,,
Andrew Van Ginkel,ED,MIA,2,60,62.7,60,2,,
Joe Walker,LB,ARZ,2,60,60.8,60,2,,
Jamil Douglas,G,WAS,1,60,70.6,60,2,,
Trey Ragas,HB,LV,1,64.8,42.6,,2,,
Dwayne Washington,HB,NO,5,64.1,85.8,,2,,
Vita Vea,DI,TB,2,58.4,,58.8,2,,
Divine Deablo,LB,LV,2,60,,60,2,,
Mike Hilton,CB,CIN,1,60,,60,2,,
Isaiah Coulter,WR,CHI,2,52.3,,59.8,2,,
Koda Martin,T,ARZ,1,60,,60,2,,
Aaron Brewer,LS,ARZ,2,60,60.8,60,2,,
Nick Scott,S,LA,2,58.2,63.8,60,2,,
David Blough,QB,DET,1,26.2,,60,2,,
Travin Howard,LB,LA,2,60,63.8,60,2,,
Marquel Lee,LB,LV,2,60,,60,2,,
Derrick Barnes,LB,DET,2,60,88.3,,2,,
Nathan Peterman,QB,LV,1,57.7,,60,2,,
Jalen Elliott,S,DET,1,60,63.8,60,2,,
Eric Smith,T,ARZ,1,60,,60,2,,
Dennis Gardeck,ED,ARZ,2,60,62,60,2,,
Ernest Jones,LB,LA,2,60,62.7,60,2,,
Wendell Smallwood,HB,WAS,2,50.9,45.1,,2,,
AJ Cole,P,LV,2,60,,60,2,,
C.J. Saunders,WR,CAR,2,61.4,,60,2,,
Roderic Teamer,S,LV,2,60,,60,2,,
Nick Moore,LS,BLT,1,60,61.5,,1,,
Joe Giles-Harris,LB,BUF,1,60,,60,1,,
KeeSean Johnson,WR,PHI,1,59.1,,59.7,1,,
Maurice Ffrench,WR,LAC,1,49,,60,1,,
Tyler Ott,LS,SEA,1,60,,60,1,,
Zach Kerr,DI,CIN,1,60,63.8,,1,,
Kene Nwangwu,HB,MIN,6,68.2,69.4,,1,,
Nick Ralston,FB,DAL,1,60,,60,1,,
Darrynton Evans,HB,TEN,1,60.8,73,,1,,
C.J. Goodwin,S,DAL,2,81.6,,60,1,,
Michael Dickson,P,SEA,1,60,,60,1,,
Lawrence Cager,WR,CLV,1,59.6,,57.8,1,,
John Kelly Jr.,HB,CLV,1,64.3,,60,1,,
Jack Fox,P,DET,3,71.5,,60,1,,
Ross Matiscik,LS,JAX,1,60,,60,1,,
Michael Palardy,P,MIA,2,51.7,,60,1,,
Cole Van Lanen,G,GB,1,60,,60,1,,
Zack Baun,LB,NO,1,60,62.7,,1,,
Alohi Gilman,S,LAC,1,60,63.8,,1,,
Jabril Cox,LB,DAL,1,60,,60,1,,
James Winchester,LS,KC,1,60,61.5,,1,,
Dakota Allen,LB,JAX,1,60,,60,1,,
Chris Board,LB,BLT,1,60,62.7,,1,,
Logan Cooke,P,JAX,1,60,,60,1,,
Chris Banjo,S,ARZ,2,60.5,,60,1,,
Tavante Beckett,LB,DET,1,60,62.7,,1,,
Josh Metellus,S,MIN,1,60,,60,1,,
Nick Niemann,LB,LAC,1,60,63.8,,1,,
Sam Franklin Jr.,S,CAR,1,60,,60,1,,
Quincy Roche,ED,NYG,1,60,62.7,,1,,
Jeffery Simmons,DI,TEN,1,60,,60,1,,
Eddy Pineiro,K,NYJ,1,60,,60,1,,
Jamir Jones,ED,JAX,1,60,62.7,,1,,
Francis Bernard,LB,DAL,1,60,62.7,,1,,
Troy Dye,LB,MIN,1,60,,60,1,,
Terrell Burgess,S,LA,1,60,,60,1,,
Jeff Heath,S,NO,1,60,63.8,,1,,
Will Compton,LB,LV,1,60,,60,1,,
Malik Harrison,LB,BLT,1,60,62.7,,1,,
Brandon Stephens,S,BLT,1,60,63.8,,1,,
Artavis Pierce,HB,CHI,1,59.9,72,,1,,
Devine Ozigbo,HB,NE,2,60.9,69.4,,1,,
Damarea Crockett,HB,DEN,2,60.9,,60,1,,
Siran Neal,CB,BUF,1,60,,60,1,,
Clelin Ferrell,ED,LV,1,60,,60,1,,
Brett Rypien,QB,DEN,1,44,,60,1,,
Darius Slay,CB,PHI,2,58.3,,60,1,,
Nathan Shepherd,DI,NYJ,1,60,,60,1,,
Christian Kuntz,LS,PIT,1,60,62,,1,,
Andrew DePaola,LS,MIN,1,60,,60,1,,
Paul Quessenberry,FB,HST,1,60,,60,1,,
Beau Brinkley,LS,ARZ,1,60,29.8,,1,,
David Steinmetz,T,WAS,1,60,61.1,,1,,
Julian Stanford,LB,CAR,1,60,,60,1,,
Charley Hughlett,LS,CLV,1,60,,60,1,,
Buddy Howell,HB,LA,2,66.9,,60,1,,
Sione Takitaki,LB,CLV,1,60,,60,1,,
Tahir Whitehead,LB,ARZ,1,60,,60,1,,
Cameron Tom,C,MIA,1,60,66,,1,,
Matt Haack,P,BUF,1,60,,60,1,,
Jaylen Samuels,HB,HST,3,52.3,,60,1,,
Thomas Hennessy,LS,NYJ,1,60,,60,1,,
Adam Pankey,T,MIA,1,60,,58.2,1,,
Aaron Fuller,WR,SEA,1,60,,60,1,,
Blake Lynch,LB,MIN,1,60,,60,1,,
Elijah Lee,LB,CLV,1,60,,60,1,,
Rudy Ford,CB,JAX,1,60,,60,1,,
Tanner Vallejo,LB,ARZ,1,60,61.4,,1,,
Travis Fulgham,WR,DEN,1,58.9,,60,1,,
Nsimba Webster,WR,CHI,1,60,,60,1,,
Matt Overton,LS,LAC,1,60,61.5,,1,,
Anthony Walker Jr.,LB,CLV,1,60,,60,1,,
Jake McQuaide,LS,DAL,1,60,61.5,,1,,
Dorance Armstrong,ED,DAL,1,60,,60,1,,
Lawrence Guy Sr.,DI,NE,1,60,,60,1,,
John Reid,CB,SEA,1,60,,60,1,,
M.J. Stewart,S,CLV,1,60,,60,1,,
Donovan Wilson,S,DAL,1,60,,59,1,,
Ryan Connelly,LB,MIN,1,60,,60,1,,
Olasunkanmi Adeniyi,ED,TEN,1,60,61.4,,1,,
A.J. Green III,CB,CLV,1,60,,60,1,,
Luke Gifford,LB,DAL,1,60,62.7,,1,,
Cody Barton,LB,SEA,1,60,,60,1,,
Jordyn Brooks,LB,SEA,1,60,,60,1,,
Micah Kiser,LB,DEN,1,60,,60,1,,
Andre Smith,LB,BUF,1,60,,60,1,,
Leighton Vander Esch,LB,DAL,1,60,,60,1,,
Frankie Luvu,LB,CAR,1,60,,60,1,,
Tyrel Dodson,LB,BUF,1,60,,60,1,,
Shaquille Quarterman,LB,JAX,1,60,,60,1,,
Julian Love,S,NYG,1,60,63.8,,1,,
Ben Niemann,LB,KC,1,60,62.7,,1,,
Armani Watts,S,KC,1,60,63.8,,1,,
Drue Tranquill,LB,LAC,1,60,62.7,,1,,
Kristian Welch,LB,BLT,1,60,62.7,,1,,
Jaquan Johnson,S,BUF,1,60,,60,1,,
Dorian O'Daniel,LB,KC,1,60,62.7,,1,,
Vince Biegel,ED,MIA,1,60,,60,1,,
Khyiris Tonga,DI,CHI,1,60,,60,1,,
Duke Riley,LB,MIA,2,58,,60,1,,
Chris Wormley,DI,PIT,1,60,62,,1,,
Damien Wilson,LB,JAX,1,60,,60,1,,
Harrison Hand,CB,MIN,1,60,,60,1,,
Geno Stone,S,BLT,1,60,63.8,,1,,
Keisean Nixon,CB,LV,1,60,,60,1,,
Chris Rumph II,ED,LAC,1,60,62.7,,1,,
Joe Cardona,LS,NE,1,60,,60,1,,
Matt Gay,K,LA,2,62.4,63.8,,1,,
Jon Rhattigan,LB,SEA,1,60,,60,1,,
K'Lavon Chaisson,ED,JAX,1,60,,60,1,,
Jeremiah Owusu-Koramoah,LB,CLV,1,60,,60,1,,
Pete Werner,LB,NO,1,60,62.7,,1,,
Cameron Heyward,DI,PIT,1,60,62,,1,,
Zach Wood,LS,NO,1,60,61.5,,1,,
J.J. Watt,DI,ARZ,1,60,,60,1,,
Raheem Mostert,HB,SF,1,58,,60,1,,
Morgan Cox,LS,TEN,1,60,60.8,,1,,
Anthony Levine,S,BLT,1,60,63.8,,1,,
Tommylee Lewis,WR,MIA,1,81.3,,60,1,,
Brennan Scarlett,ED,MIA,1,60,62.7,,1,,
Charles Washington,S,ARZ,2,58.8,,60,1,,
Noah Igbinoghene,CB,MIA,1,60,,60,1,,
Reid Ferguson,LS,BUF,1,60,,60,1,,
Tyler Matakevich,LB,BUF,1,60,,60,1,,
Lachlan Edwards,P,CAR,1,60,,60,1,,
Trenton Cannon,HB,SF,3,58.1,,60,1,,
Tanner Hudson,TE,SF,1,60,69,,1,,
Chris Claybrooks,CB,JAX,1,60,,60,1,,
Zaven Collins,LB,ARZ,2,59.2,,60,1,,
JJ Jansen,LS,CAR,1,60,,60,1,,
Nick Bolton,LB,KC,1,60,62.7,,1,,
Micah Parsons,LB,DAL,1,60,,60,1,,
Kyler Fackrell,ED,LAC,1,60,62.7,,1,,
Nick Vigil,LB,MIN,1,60,,60,1,,
Nick Dzubnar,LB,TEN,1,60,61.4,,1,,
Nick Folk,K,NE,1,60,,60,1,,
De'Michael Harris,WR,IND,1,58.5,,59.7,1,,
Bobby Price,CB,DET,3,69.9,,60,1,,
Reggie Ragland,LB,NYG,1,60,62.7,,1,,
Jordan Berry,P,MIN,1,60,,60,1,,
Keanu Neal,LB,DAL,1,60,,60,1,,
Myron Mitchell,WR,MIN,1,60,,60,1,,
Matt Prater,K,ARZ,1,60,63.8,,1,,
Matt Cole,CB,CAR,1,60,,60,1,,
Casey Kreiter,LS,NYG,1,60,61.5,,1,,
Matthew Adams,LB,IND,1,60,,59.9,1,,
