player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,
Drew Forbes,28671,G,CLV,4,63.1,72.8,58.4,19,,
K.C. McDermott,29035,G,HST,2,21.6,0,79.1,19,,
Clyde Edwards-Helaire,57279,HB,KC,10,67.6,43.7,60,19,,
Jamison Crowder,9538,WR,BUF,4,53.2,,37.3,19,,
Montrell Washington,64310,WR,DEN,14,56.6,,57,18,,
Cole Van Lanen,41583,G,JAX,6,40.1,0,57.5,18,,
Dwayne Washington,10870,HB,NO,10,64.2,65.8,62.4,18,,
Brenden Jaimes,59909,G,LAC,3,26.9,0,60,18,,
Cole Beasley,7330,WR,BUF,6,71.2,,61,17,,
Salvon Ahmed,57472,HB,MIA,7,73.5,27,60,17,,
Pierre Strong Jr.,66619,HB,NE,8,80.5,76.5,61.3,17,,
Justin Herron,46271,T,LV,1,55.4,73.5,54.3,17,,
Britain Covey,32933,WR,PHI,5,57.5,,62.9,17,,
Justin Skule,38951,T,TB,1,70.5,85.5,58.5,16,,
John Brown,8726,WR,BUF,4,63.3,,60.7,16,,
Kendall Blanton,47311,TE,LA,4,70.1,75.5,44.9,16,,
Chad Henne,4371,QB,KC,4,67.7,,60,16,,
David Johnson,9519,HB,NO,5,51.3,37.4,72.8,16,,
Jason Moore,91472,WR,LAC,6,50.1,,58.4,16,,
Tyree Jackson,46481,TE,PHI,5,41.5,,47.2,16,,
Nathan Peterman,11926,QB,CHI,3,66.7,,60,16,,
Jaelon Darden,61522,WR,CLV,8,52.9,,56,16,,
Phillip Lindsay,12660,HB,IND,3,64.3,68.8,60,15,,
Mike Davis,9559,HB,BLT,8,42.7,81,51.7,15,,
Kevin Harris,99141,HB,NE,5,67.5,80.6,57.7,15,,
D'Ante Smith,41497,T,CIN,4,68.2,70.1,64.1,15,,
Tyrod Taylor,6332,QB,NYG,3,58.3,,60,15,,
Nick Bellore,6515,FB,SEA,10,47.6,81.5,45.9,15,,
Davis Webb,11842,QB,NYG,1,33.8,,60,15,,
Tyron Johnson,34427,WR,HST,4,54.2,,63.1,15,,
Matthew Slater,4467,WR,NE,6,60.2,,60,15,,
Braylon Sanders,61457,WR,MIA,3,50.6,,71.5,15,,
Chase Daniel,5214,QB,LAC,4,40.7,,60,15,,
Tyler Johnson,48054,WR,HST,2,46.3,,34,14,,
Malik Davis,57196,HB,DAL,9,80.6,34.1,60.7,14,,
Josh Gordon,7618,WR,TEN,2,47,,62.2,14,,
Elijah Mitchell,57272,HB,SF,7,81.7,72.4,60.5,14,,
Racey McMath,61401,WR,TEN,4,56.1,,61.5,14,,
Dakoda Shepley,66937,C,DAL,2,52.8,20.8,56.8,14,,
Patrick Taylor,40448,HB,GB,5,61.6,24.2,60,13,,
Isaiah Spiller,99146,HB,LAC,6,49.8,22.5,60,13,,
Jake Tonges,60864,TE,CHI,3,52.5,,56,13,,
Caleb Huntley,57156,HB,ATL,12,86.9,39.9,58.3,13,,
Jalen Camp,40986,WR,HST,2,67,,57,13,,
Willie Snead IV,8999,WR,SF,4,55.3,,77.2,13,,
Darrel Williams,13014,HB,ARZ,5,64.9,29.6,60,13,,
Tanner Conner,22777,TE,MIA,8,30.9,,61.2,12,,
Snoop Conner,99163,HB,JAX,9,72.6,78.7,51.9,12,,
Geron Christian,46375,T,MIA,3,46,44.7,42.7,12,,
Trayveon Williams,45775,HB,CIN,6,82.3,80.9,60,12,,
Case Keenum,7323,QB,BUF,2,28.5,,60,12,,
Simi Fehoko,84424,WR,DAL,5,55.7,,54.4,12,,
Nick Zakelj,59693,G,SF,2,53.7,,54.5,12,,
Corey Clement,12253,HB,ARZ,5,63.9,12.4,56.5,12,,
Marcus Kemp,12137,WR,KC,3,61.8,,62,12,,
Marlon Mack,11898,HB,DEN,5,86.2,83.9,60,12,,
Penny Hart,13534,WR,SEA,8,55.5,,58.7,11,,
C.J. Beathard,11859,QB,JAX,4,57.6,,60,11,,
Lucas Niang,47004,T,KC,5,45.6,17.2,50.7,11,,
Scotty Washington,47964,TE,NE,1,51.4,76.6,56.5,11,,
Kyle Philips,84463,WR,TEN,4,63.7,,52.5,10,,
Lynn Bowden,61361,WR,NE,1,54.2,,54,10,,
Jesse James,9593,TE,CLV,2,42.2,,42.5,10,,
D'Ernest Johnson,45734,HB,CLV,6,66.1,82.1,60,10,,
Jalen Guyton,34164,WR,LAC,3,72.3,,85.1,10,,
Gary Brightwell,57133,HB,NYG,12,67.7,78.1,77.1,10,,
Josh Ali,61359,WR,ATL,2,55.6,,57.8,9,,
DJ Turner,47663,WR,LV,6,41.8,,59.7,9,,
Cody White,61448,WR,PIT,1,71.1,,86,9,,
Raheem Blackshear,57385,HB,CAR,11,70.3,68.8,59.2,9,,
Tony Jones Jr.,40498,HB,SEA,4,50.8,66.1,30.7,9,,
Aviante Collins,12049,T,DAL,2,65.9,,64.7,9,,
Brandon Allen,10835,QB,CIN,1,74.9,,60,9,,
Tanner Gentry,12170,WR,BUF,3,46.9,,35.5,9,,
Dezmon Patmon,48329,WR,IND,1,55.4,,61.9,8,,
Zamir White,83665,HB,LV,12,65.8,77.4,60,8,,
Benny Snell Jr.,45954,HB,PIT,5,84,35.6,72,8,,
Deonte Harty,91470,WR,NO,4,47.9,,53.9,8,,
Charlie Kolar,60917,TE,BLT,2,74.8,,86.5,8,,
Brian Hoyer,5277,QB,NE,1,63.7,,60,8,,
Noah Togiai,47282,TE,PHI,2,26.7,20.4,44.7,8,,
Korey Cunningham,38555,T,NYG,1,47.1,67.1,50.7,8,,
Germain Ifedi,10665,T,ATL,4,45.4,,45.9,8,,
Pharoh Cooper,10751,WR,ARZ,3,46.8,,28.7,8,,
Dennis Houston,61295,WR,DAL,2,54.6,,58,8,,
Ty Montgomery,9527,HB,NE,1,63.9,82.7,60,7,,
Juwann Winfree,38275,WR,GB,3,52.1,,60.3,7,,
Miller Forristall,47378,TE,CLV,4,60.1,,70.6,7,,
Luke Tenuta,77367,T,GB,1,71.7,73.9,72.8,7,,
Stanley Berryhill III,61128,WR,DET,4,60.3,,60.2,7,,
Trey Hill,81653,C,CIN,1,57,68.2,53,7,,
Jonathan Williams,10790,HB,WAS,8,62,81.6,60,7,,
Darrynton Evans,40692,HB,CHI,4,54.2,76.3,60,7,,
Garrett Griffin,11439,TE,DET,1,51,69.1,54,7,,
Daylen Baldwin,64309,WR,CLV,1,83.3,,58.5,7,,
Erik Ezukanma,78148,WR,MIA,1,59.7,,59.6,7,,
Jared Bernhardt,156149,WR,ATL,2,57,,60.5,7,,
Trinity Benson,94356,WR,DET,1,55.3,,60,7,,
Jacob Hollister,12051,TE,LV,3,56.3,,60.1,6,,
Tyrion Davis-Price,99169,HB,SF,6,53.6,,58.8,6,,
Tyler Mabry,25705,TE,SEA,3,80.9,65.8,60.7,6,,
Coy Cronk,46235,T,JAX,2,60.1,,59.7,6,,
Ike Boettger,46918,G,BUF,1,62.8,78.8,59.9,6,,
Chris Streveler,46440,QB,NYJ,1,41,,60,6,,
Ke'Shawn Vaughn,45866,HB,TB,7,57.4,69.5,,6,,
C.J. Board,12088,WR,TEN,1,54.4,,60.3,6,,
Blaine Gabbert,6162,QB,TB,1,63.8,,60,6,,
Jerome Ford,83601,HB,CLV,2,49.4,,60,5,,
Lucas Krull,83962,TE,NO,1,40.6,17.7,55.5,5,,
Brandon Bolden,7469,HB,LV,10,50.9,26.8,60,5,,
Ronald Jones,34001,HB,KC,7,69.1,,60,5,,
Julian Love,51081,S,NYG,4,60.9,,61.1,5,,
Myles Gaskin,45914,HB,MIA,2,66.5,75,60,5,,
James Washington,47792,WR,DAL,2,52.3,,54.2,5,,
Rico Dowdle,40693,HB,DAL,3,60.2,,60,5,,
Kaylon Geiger,102929,WR,TB,3,56.9,,60,5,,
Larry Rountree III,57308,HB,LAC,3,55.1,73,60,5,,
Jordan Wilkins,26618,HB,IND,4,59.1,59.5,60,5,,
Xavier Newman,58525,G,TEN,1,69,,67.4,4,,
Michael Hoecht,108840,ED,LA,4,60,88.3,58.1,4,,
Giovani Bernard,7818,HB,TB,2,48.1,31.1,,4,,
Ryan Neuzil,41123,C,ATL,1,66.5,,68,4,,
Kyric McGowan,61544,WR,WAS,2,54.4,,60.3,4,,
Marcus Jones,55717,CB,NE,5,90.7,,59.9,4,,
Jordan Love,40306,QB,GB,4,78.7,,60,4,,
Kwamie Lassiter II,23226,WR,CIN,1,55.6,,60,4,,
Logan Woodside,46517,QB,ATL,1,60,,60,4,,
Mason Kinsey,115664,WR,TEN,1,55.8,,60,4,,
Spencer Brown,57441,HB,CAR,2,57.6,43.6,,4,,
Zack Johnson,18569,T,TEN,1,52,,47.1,4,,
Binjimen Victor,42198,WR,BLT,2,57.8,,60.4,4,,
Johnny Johnson III,61588,WR,HST,1,54.8,,60.5,4,,
Casey Kreiter,8959,LS,NYG,4,60,63.8,60,4,,
Jaret Patterson,77745,HB,WAS,1,60.9,,59.9,4,,
Scott Daly,18793,LS,DET,3,60,61.5,60,3,,
Josh Woods,49023,LB,DET,3,60,62.7,60,3,,
Devine Ozigbo,45903,HB,DEN,3,53.5,74.4,60,3,,
Malcolm Rodriguez,60731,LB,DET,3,60,62.7,60,3,,
Nate Sudfeld,10821,QB,DET,2,60,,60,3,,
Chris Board,29456,LB,DET,3,60,62.7,60,3,,
Anthony Pittman,94372,ED,DET,3,60,62.7,60,3,,
Christian Rozeboom,49862,LB,LA,3,60,99.9,60,3,,
Chris Evans,27303,HB,CIN,8,72.5,77.5,60,3,,
Thomas Hennessy,12124,LS,NYJ,3,60,92.1,60,3,,
Damien Williams,9205,HB,ATL,1,55.2,,59.6,3,,
Rashard Higgins,10806,WR,CAR,2,54.1,,59.8,3,,
Alex Armah,11948,FB,WAS,2,57.2,,59,3,,
Anthony McFarland Jr.,57289,HB,PIT,1,71.5,,60.2,3,,
Ronnie Rivers,57208,HB,LA,3,64.6,,60,3,,
Ernest Jones,81399,LB,LA,3,60,88.3,60,3,,
Matt Orzech,94369,LS,LA,3,60,81,60,3,,
Tyler Badie,83714,HB,DEN,1,61.2,,58,3,,
Nsimba Webster,48107,WR,CHI,1,46.6,,60.2,3,,
Xavier McKinney,55775,S,NYG,1,60,,60,3,,
Luke Gifford,50675,LB,DAL,2,60,,59.7,2,,
Cody Barton,50727,LB,SEA,2,60,,60,2,,
Ben Niemann,51099,LB,ARZ,2,60,62.7,60,2,,
Minkah Fitzpatrick,51206,S,PIT,2,60,,60,2,,
Marcell Harris,51408,LB,NYJ,2,60,62.7,60,2,,
Jake Gervase,49103,LB,LA,3,77.6,62.7,60,2,,
Isaiah Dunn,52129,CB,SEA,2,60,,60,2,,
Jack Fox,34735,P,DET,3,69.1,,60,2,,
Micheal Clemons,56872,ED,NYJ,2,60,63.8,60,2,,
Nick Scott,49012,S,LA,2,60,63.8,60,2,,
Tae Crowder,35774,LB,PIT,2,60,,60.8,2,,
Qadree Ollison,45934,HB,DAL,1,60,,60,2,,
Tanner Muse,35997,LB,SEA,2,60,,60,2,,
Jake Hummel,57879,LB,LA,2,60,62.7,60,2,,
Troy Dye,28251,LB,MIN,2,60,88.3,,2,,
Cullen Gillaspia,38844,FB,SEA,2,60,,60,2,,
Yasir Durant,59878,T,NO,1,60,,59.7,2,,
Chase Allen,39988,TE,CHI,1,60,69.6,60,2,,
Antonio Williams,40197,HB,NYG,1,60,,60,2,,
Tim Boyle,21956,QB,CHI,1,35.2,,60,2,,
Kene Nwangwu,40547,HB,MIN,3,56.4,11.2,,2,,
Tanner Vallejo,11950,LB,ARZ,2,60,62.7,60,2,,
Joey Blount,62771,S,SEA,2,60,,60,2,,
Ty Chandler,62942,HB,MIN,2,54,83.4,,2,,
Josh Jones,11816,S,SEA,2,60,,60,2,,
Mike Hilton,10898,CB,CIN,1,60,,60,2,,
Dennis Gardeck,66928,ED,ARZ,2,60,62.7,60,2,,
Tremayne Anchrum Jr.,41813,G,LA,1,60,68.6,60,2,,
Jared Pinkney,47214,TE,LA,2,60,,60,2,,
Dez Fitzpatrick,42349,WR,TEN,1,41.1,,60,2,,
Damien Wilson,9560,LB,CAR,2,60,62.7,60,2,,
Jamien Sherwood,83175,LB,NYJ,2,60,62.7,60,2,,
Cam Brown,42516,LB,NYG,2,60,,60.8,2,,
Talanoa Hufanga,83903,S,SF,1,60,,60,2,,
Tevin Coleman,9506,HB,SF,4,68.1,29.4,60,2,,
Josh Metellus,43395,S,MIN,2,60,95.5,,2,,
Carter Coughlin,43498,LB,NYG,2,60,,60.2,2,,
Christian Jones,9020,ED,SEA,2,60,,60,2,,
Fred Johnson,46951,T,TB,2,60,66.4,63.1,2,,
James Winchester,8580,LS,KC,2,60,62,60,2,,
Carson Tinker,8043,LS,SEA,2,60,,60,2,,
D.J. Wonnum,44550,ED,MIN,2,60,99.9,,2,,
Andrew DePaola,7633,LS,MIN,2,60,81,,2,,
Aaron Brewer,7301,LS,ARZ,2,60,61.5,60,2,,
Jacob Eason,46444,QB,CAR,1,29.2,,60,2,,
Jake Funk,45835,HB,IND,2,60,63.8,60,2,,
Matt Overton,6979,LS,DAL,2,60,,60,2,,
Graham Gano,5443,K,NYG,2,60,63.8,60,2,,
Julius Chestnut,109239,HB,TEN,4,63.4,72.4,60,2,,
JJ Jansen,4712,LS,CAR,2,60,61.5,60,2,,
Nick Muse,61079,TE,MIN,1,60,62.7,,1,,
Cameron Johnston,12255,P,HST,1,60,,60,1,,
Amare Barno,99780,ED,CAR,1,60,,60,1,,
Jacob Harris,34255,WR,LA,3,73.7,,60,1,,
Garret Wallow,60761,LB,HST,1,60,,60,1,,
Sam Eguavoen,15301,LB,MIA,1,60,,60,1,,
Justin Hardee,18348,CB,NYJ,2,58.4,,60,1,,
Quay Walker,82547,LB,GB,1,60,,60,1,,
Jake Camarda,82636,P,TB,1,60,,60,1,,
Jerry Jacobs,83025,CB,DET,1,60,,60,1,,
Kelvin Joseph,83051,CB,DAL,1,60,,60,1,,
Amen Ogbongbemiga,42449,LB,LAC,1,60,,60,1,,
Godwin Igwebuike,49166,HB,SEA,2,66.4,,59.9,1,,
Christian Kuntz,20035,LS,PIT,1,60,,60,1,,
Malik Turner,48078,WR,SF,1,60,,60,1,,
Raleigh Webb,22373,WR,NE,1,60,66.2,,1,,
Nathan Shepherd,24614,DI,NYJ,1,60,62.1,,1,,
Tomon Fox,42486,ED,NYG,1,60,,60,1,,
Ezekiel Turner,49167,LB,ARZ,2,55.9,,60,1,,
Justin Layne,40160,CB,CHI,1,60,,60,1,,
Chauncey Golston,42718,DI,DAL,1,60,,60,1,,
Jarren Williams,101750,CB,DET,1,60,,60,1,,
Duke Johnson Jr.,9510,HB,BUF,1,61.1,71.3,,1,,
Kyle Trask,39987,QB,TB,1,43.1,,60,1,,
Blake Cashman,35413,LB,HST,1,60,,60,1,,
Roderic Teamer,51405,S,LV,1,60,,60,1,,
Jacob Martin,50152,ED,DEN,1,60,62.7,,1,,
Nick Niemann,43500,LB,LAC,1,60,,60,1,,
Trent Sieg,27036,LS,LV,1,60,,60,1,,
Jackson Barton,46978,T,LV,1,60,60.9,,1,,
Grayland Arnold,43528,S,HST,1,60,,60,1,,
C.J. Goodwin,9243,CB,DAL,1,60,,60,1,,
Preston Williams,38855,WR,CAR,1,57.9,,60,1,,
Thomas Morstead,5088,P,MIA,1,60,,60,1,,
JK Scott,38809,P,LAC,1,60,,60,1,,
Austin Calitro,50640,LB,LV,1,60,,60,1,,
Eric Wilson,38587,LB,GB,1,60,,60,1,,
Tremon Smith,28196,CB,HST,1,60,,60,1,,
Sam Franklin Jr.,43580,S,CAR,2,77.7,,60,1,,
Pat O'Donnell,8826,P,GB,1,60,,60,1,,
Troy Reeder,38268,LB,LAC,1,60,,60,1,,
Zach Thomas,43641,G,LA,1,60,,60,1,,
Larnel Coleman,44146,T,CAR,1,60,70,,1,,
J.J. Russell,57958,LB,TB,1,60,,60,1,,
Brett Maher,8585,K,DAL,1,60,,60,1,,
Will Harris,51336,CB,DET,1,60,63.8,,1,,
Mike Purcell,8530,DI,DEN,1,60,70.6,,1,,
Jamir Jones,44287,ED,PIT,1,60,,60,1,,
Sean Chandler,51315,S,CAR,2,65.5,63.8,,1,,
Isaiah McDuffie,57754,LB,GB,1,60,,60,1,,
K.J. Britt,57727,LB,TB,1,60,,60,1,,
Innis Gaines,44443,CB,GB,1,60,,60,1,,
Joel Iyiegbuniwe,51221,LB,CAR,1,60,,60,1,,
Chandler Wooten,57726,LB,CAR,1,60,,60,1,,
Matt Waletzko,87430,T,DAL,1,60,,60,1,,
Braden Mann,44664,P,NYJ,3,54,,60,1,,
Luke Masterson,45046,LB,LV,1,60,,60,1,,
Josh Harris,7748,LS,LAC,1,60,,60,1,,
Terrell Burgess,45255,S,NYG,1,60,,60,1,,
Christian Matthew,156140,CB,ARZ,1,60,,60,1,,
Trey Sermon,57372,HB,PHI,2,71.1,,60,1,,
Justin Bethel,7654,CB,MIA,1,60,,60,1,,
Frankie Luvu,51028,LB,CAR,1,60,,60,1,,
Derrek Tuszka,37724,ED,LAC,1,60,,60,1,,
AJ Cole,36038,P,LV,1,60,,60,1,,
Anthony Nelson,48405,ED,TB,1,60,,60,1,,
Andrew Van Ginkel,30267,ED,MIA,1,60,,60,1,,
Oshane Ximines,48538,ED,NYG,1,60,,60,1,,
Jabril Cox,30669,LB,DAL,1,60,,60,1,,
Khalen Saunders,31534,DI,KC,2,59.6,,60,1,,
Andy Lee,1906,P,ARZ,2,59.5,,60,1,,
Henry Mondeaux,48889,DI,NYG,1,60,63.8,,1,,
Deane Leonard,124140,CB,LAC,1,60,,60,1,,
Johnny Hekker,7252,P,CAR,2,72.9,,60,1,,
D.J. Davidson,56523,DI,NYG,1,60,,60,1,,
Victor Dimukeje,56347,ED,ARZ,1,60,,60,1,,
Robert Spillane,50918,LB,PIT,1,60,,60,1,,
Chris Rumph II,56345,ED,LAC,1,60,,60,1,,
Quentin Lake,56245,S,LA,1,60,63.8,,1,,
Elijah Campbell,49190,S,MIA,1,60,,60,1,,
Ashtyn Davis,49560,S,NYJ,2,65.6,63.8,,1,,
Ifeatu Melifonwu,56203,S,DET,1,60,,60,1,,
Jason Pinnock,56144,S,NYG,1,60,,60,1,,
Brandin Echols,98900,CB,NYJ,1,60,,60,1,,
Zyon Gilbert,55891,CB,NYG,1,60,,60,1,,
Ja'Sir Taylor,55426,CB,LAC,1,60,,60,1,,
Maurice Alexander,33465,WR,DET,4,57.2,,60,1,,
Roger Carter,55200,TE,LA,1,60,,60,1,,
Malcolm Koonce,55015,ED,LV,1,60,,60,1,,
Matt Ammendola,34039,K,ARZ,1,60,62,,1,,
Kris Boyd,34222,CB,MIN,2,59.5,63.8,,1,,
Justin Murray,11022,T,BUF,1,60,,63.6,1,,
Zyon McCollum,66769,CB,TB,1,60,,60,1,,
Joe Haeg,10789,T,CLV,1,60,62.1,,1,,
Cory Littleton,11190,LB,CAR,1,60,62.7,,1,,
Antonio Hamilton Sr.,11353,CB,ARZ,1,60,,60,1,,
Zach Triner,11518,LS,TB,1,60,,60,1,,
Tariq Carpenter,62987,S,GB,1,60,,60,1,,
Miles Killebrew,10745,LB,PIT,1,60,,60,1,,
Eric Murray,10740,S,HST,1,60,,60,1,,
Pressley Harvin III,62973,P,PIT,1,60,,60,1,,
Jack Coco,62966,LS,GB,1,60,,60,1,,
Duke Riley,11830,LB,MIA,1,60,,60,1,,
Theo Jackson,62919,S,MIN,1,60,63.8,,1,,
Jon Weeks,5800,LS,HST,1,60,,60,1,,
Cameron Sutton,11850,CB,PIT,1,60,,60,1,,
Jalen Reeves-Maybin,11879,LB,HST,1,60,,60,1,,
Blake Ferguson,35517,LS,MIA,1,60,,60,1,,
Wes Martin,46087,G,WAS,1,60,70,,1,,
Cornell Powell,40689,WR,KC,2,56.6,,60,1,,
Harrison Butker,11988,K,KC,1,60,,60,1,,
Neville Hewitt,9836,LB,HST,1,60,,60,1,,
Cethan Carter,47149,TE,MIA,1,60,,60,1,,
Patrick O'Connor,12005,DI,TB,1,60,,60,1,,
