player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,
Gabe Jackson,8716,G,SEA,16,54.8,52.5,52.8,735,,
Cole Kmet,60995,TE,CHI,17,67.6,68.8,65.1,516,,
George Fant,11282,T,NYJ,8,48.4,46.7,56.3,516,,
Brandon Aiyuk,84109,WR,SF,20,78.7,,53.8,510,,
Parker Hesse,48369,TE,ATL,17,61.2,70.9,61.2,503,,
Lloyd Cushenberry III,41924,C,DEN,8,56.2,68.8,52.7,502,,
Zach Tom,55443,T,GB,9,68.3,78.1,55.7,489,,
Phil Haynes,29244,G,SEA,14,57.1,60.2,58.1,485,,62.24615385
Billy Turner,8702,T,DEN,8,56.3,50.7,57.3,483,,
A.J. Brown,48327,WR,PHI,20,87.7,,52.1,479,,
George Kittle,11901,TE,SF,18,84.7,42.7,69.5,476,,
Matt Skura,11102,G,LA,8,48.3,68.1,41,466,,
Geoff Swaim,9679,TE,TEN,17,58.5,58.2,62,461,,
Jake Brendel,11117,C,SF,20,62.9,71.8,61.9,1252,,
Jared Goff,10635,QB,DET,17,72.4,,60,453,,
Royce Newman,41746,G,GB,9,57.5,54.9,57.6,451,,
Tyler Higbee,10744,TE,LA,17,62.7,61.1,50.2,444,,
Dallas Goedert,47272,TE,PHI,15,78.2,57,56.4,441,,
Mike McGlinchey,46275,T,SF,20,70.3,65.4,70.7,1210,,
Donovan Peoples-Jones,61439,WR,CLV,17,64.9,66.2,40.8,439,,
CeeDee Lamb,61570,WR,DAL,19,86.2,,66.7,438,,
Conor McDermott,11966,T,NE,8,65.8,53.7,79.8,437,,
Terry McLaurin,48229,WR,WAS,17,79.9,,48.3,435,,
DJ Moore,48267,WR,CAR,17,73.9,,51,433,,
Alijah Vera-Tucker,57107,G,NYJ,7,71.8,61.4,76.5,432,,
Dalton Schultz,47304,TE,DAL,17,68.3,51.1,65.9,424,,
Isaiah Wynn,46048,T,NE,9,54.6,52.8,63.2,423,,
Aaron Banks,59983,G,SF,19,59.5,61,57.2,1146,,
Aaron Rodgers,2241,QB,GB,17,77.5,,60,422,,
Alaric Jackson,40972,G,LA,7,64.1,69,58.2,422,,
Wes Schweitzer,10829,C,WAS,7,59.3,42.9,65.3,419,,
Trent Williams,5529,T,SF,17,91.7,88.3,91.8,1044,,
Spencer Burford,81920,G,SF,19,51.8,60.3,49.1,833,,
Trevor Lawrence,77632,QB,JAX,19,78.6,,60.7,416,,
Durham Smythe,47257,TE,MIA,17,62.7,59.2,64.2,413,,
Daniel Brunskill,34807,G,SF,17,67.3,74,60.6,609,,
Jack Stoll,42058,TE,PHI,20,49.7,55.6,56.6,411,,
Brock Wright,60994,TE,DET,17,54.2,56.7,44.2,410,,
Patrick Mahomes,11765,QB,KC,20,92,,60.3,407,,
Tyron Smith,6161,T,DAL,6,60.9,64.4,52.9,401,,
Jalen Hurts,40291,QB,PHI,18,88.2,,60,400,,
T.J. Hockenson,40912,TE,MIN,18,73.2,52.8,58.2,398,,
Jaylon Moore,43678,T,SF,11,65.9,55.6,67.6,188,,68.86666667
Daniel Jones,39395,QB,NYG,18,75.8,,61.3,387,,
Michael Pittman Jr.,29049,WR,IND,16,70.6,,59.1,385,,
Josh Oliver,47083,TE,BLT,18,72.3,71.9,74,385,,
Shaq Mason,9564,G,TB,18,68.2,70.2,62.4,1282,,
Davante Adams,8688,WR,LV,17,90.1,66.1,57.1,384,,
Mack Hollins,11873,WR,LV,17,63.8,77.9,74.9,384,,
Robert Hainsey,59980,C,TB,17,66.7,73,60.9,1175,,
Foster Moreau,47043,TE,LV,15,61.1,72,40.8,384,,
Dak Prescott,10769,QB,DAL,14,71.8,,60.3,383,,
Geno Smith,7820,QB,SEA,18,79.3,,60.6,382,,
Zach Gentry,36049,TE,PIT,17,47.5,53.6,48.7,381,,
Drake London,86519,WR,ATL,17,83.2,,55,380,,
David Njoku,11784,TE,CLV,14,73.7,76.3,52.3,378,,
Diontae Johnson,33441,WR,PIT,17,69.6,,63.5,376,,
Adam Trautman,109795,TE,NO,15,66.7,71.9,61.1,375,,
Amari Cooper,9437,WR,CLV,17,81.2,,56.2,374,,
Joe Burrow,28022,QB,CIN,19,92,,60,373,,
Brian Allen,46104,C,LA,7,63.8,59.2,66.1,373,,
John Bates,42275,TE,WAS,16,57,52.4,65,371,,
Ian Thomas,42130,TE,CAR,17,49.6,66.6,46,371,,
Tristan Wirfs,64818,T,TB,14,83.1,89.1,64.6,1013,,
Tom Brady,698,QB,TB,18,77.5,,60.1,371,,
Donovan Smith,9467,T,TB,14,59.3,71,40.8,990,,
Nick Leverett,27699,G,TB,11,64,71,55.8,761,,
Luke Goedeke,77548,G,TB,12,46.7,46.7,47.8,605,,
Christian Kirk,47546,WR,JAX,19,72.9,62.3,40.8,364,,
Noah Brown,11993,WR,DAL,18,59.5,77,44.4,364,,
Dawson Knox,35883,TE,BUF,17,66.5,65.2,65.9,363,,
Kirk Cousins,7102,QB,MIN,18,79.3,,60,362,,
Noah Gray,60878,TE,KC,20,60.7,43.3,58,362,,
Kyle Juszczyk,7912,FB,SF,19,62.6,64.9,57.4,362,,
Derek Carr,8671,QB,LV,15,66.6,60.9,60,359,,
Jake Ferguson,61081,TE,DAL,18,66.1,56.8,56.2,358,,
Justin Herbert,28237,QB,LAC,18,77.9,,60.2,357,,
Justin Jefferson,61398,WR,MIN,18,90.2,,63.5,355,,
Greg Van Roten,7746,G,BUF,9,57.6,60.4,58.6,354,,
Mark Andrews,47436,TE,BLT,16,80.7,67.1,70.1,353,,
Zay Jones,11792,WR,JAX,18,66.5,75.6,44.3,352,,
Olamide Zaccheaus,44920,WR,ATL,17,64.6,69.4,47.8,352,,
Hunter Henry,10669,TE,NE,17,58.1,64.5,48.3,352,,
Justin Fields,82118,QB,CHI,15,70.2,,60.4,351,,
Chris Manhertz,10211,TE,JAX,19,56.4,80.5,63,351,,
Evan Engram,11778,TE,JAX,19,67.6,59.4,60.1,351,,
