player,position,team_name,player_game_count,grades_defense,snap_counts_defense,,Average Grade
Jeremiah Ledbetter,DI,JAX,1,63.3,11,,
Rudy Ford,S,GB,14,74.6,443,,
Mario Addison,ED,HST,12,57.8,367,,
Isaac Rochell,ED,LV,7,49.7,137,,
Elijah Lee,LB,CHI,1,43.8,8,,
Maliek Collins,DI,HST,15,65.4,601,,
Michael Davis,CB,LAC,15,73.8,837,,
Jacob Hollister,TE,LV,1,60,1,,
Greg Mabin,CB,TEN,5,56.3,108,,
Roy Lopez,DI,HST,17,53.1,557,,
Taysom Hill,TE,NO,2,60,2,,
Arthur Maulet,CB,PIT,17,56.5,481,,
Corey Clement,HB,ARZ,1,59.9,1,,
Zach Pascal,WR,PHI,3,62.7,3,,
Joe Jones,LB,TEN,5,45,40,,
Sione Takitaki,LB,CLV,12,66.5,498,,
Penny Hart,WR,SEA,1,70.2,1,,
Alexander Johnson,LB,SEA,2,72.5,28,,
Sam Eguavoen,LB,MIA,11,29.1,35,,
Rasheem Green,ED,HST,16,62.4,567,,
Kemoko Turay,ED,SF,3,50,43,,
Tanner Conner,TE,MIA,1,60,1,,
Sam Kamara,ED,CLV,1,62.6,7,,
Dylan Cole,LB,TEN,15,53.3,439,,
Ogbo Okoronkwo,ED,HST,17,75.1,517,,
Foyesade Oluokun,LB,JAX,19,70.5,1283,,
Deionte Thompson,S,ARZ,2,61.6,6,,
Levi Wallace,CB,PIT,15,62.8,709,,
Kurt Hinish,DI,HST,15,49.5,435,,
Dane Cruikshank,S,CHI,1,60,1,,
Thomas Booker IV,DI,HST,10,35.3,206,,59.209375
Clay Johnston,LB,CIN,2,60,2,,
Jonathan Ward,HB,TEN,1,60,1,,
Sean Murphy-Bunting,CB,TB,10,71.8,497,,
DeForest Buckner,DI,IND,17,82.3,874,,
Yannick Ngakoue,ED,IND,15,51.4,733,,
KhaDarel Hodge,WR,ATL,1,59.9,1,,
Isaiah Mack,DI,SEA,2,41.9,30,,
Grover Stewart,DI,IND,17,69,781,,
Jabari Zuniga,ED,NO,1,39.7,25,,
Ben Banogu,ED,IND,16,50.6,116,,
C.J. Moore,S,DET,9,70,106,,
D.J. Reed,CB,NYJ,17,72.5,1135,,
Isaiah Rodgers,CB,IND,13,82.1,434,,
Eric Johnson,DI,IND,14,47.4,127,,
Siran Neal,CB,BUF,8,59.8,68,,
Byron Cowart,DI,IND,17,30.4,229,,
Chris Evans,HB,CIN,1,60,1,,
Devin Bush,LB,PIT,17,58.9,659,,
Michael Dwumfour,DI,SF,9,36.5,238,,
David Long Jr.,CB,LA,10,53.6,287,,
Kwity Paye,ED,IND,12,69.6,547,,
Jalen Dalton,DI,ATL,7,58.3,145,,
Dayo Odeyingbo,ED,IND,17,62.6,519,,57.825
Joe Gaziano,DI,LAC,5,41.2,114,,
Corey Peters,DI,JAX,14,63.1,307,,
Adam Gotsis,DI,JAX,17,65,315,,
Malik Harrison,LB,BLT,16,66.7,249,,
Jerome Baker,LB,MIA,18,74.6,1081,,
Roy Robertson-Harris,DI,JAX,19,66.1,821,,
Tremon Smith,CB,HST,3,65.5,201,,
Troy Dye,LB,MIN,6,52.9,42,,
Dawuane Smoot,ED,JAX,15,70.3,445,,
DaVon Hamilton,DI,JAX,19,72.6,710,,
Folorunso Fatukasi,DI,JAX,16,42.5,481,,
Kameron Cline,ED,IND,3,43.4,12,,
Jermaine Carter,LB,CLV,4,51.5,93,,
DeShon Elliott,S,DET,14,66.5,859,,
Jack Jones,CB,NE,13,74.7,434,,
Darius Harris,LB,KC,20,63.3,312,,
David Long Jr.,LB,TEN,12,76.2,740,,
Germaine Pratt,LB,CIN,18,78.4,900,,
Chris Board,LB,DET,15,64.4,158,,
Logan Wilson,LB,CIN,18,74.6,1155,,
Dakota Allen,LB,DEN,1,60,1,,
Arden Key,ED,JAX,19,75.7,541,,
Jabril Cox,LB,DAL,5,53,37,,
T.J. Edwards,LB,PHI,20,81.6,1183,,
Dee Delaney,CB,TB,10,64.2,216,,
George Odum,S,SF,10,68.9,58,,
Josh Allen,ED,JAX,19,84.7,1005,,
K'Lavon Chaisson,ED,JAX,11,62.2,120,,
Britain Covey,WR,PHI,3,62.6,3,,
Dane Jackson,CB,BUF,17,58.6,885,,
Robert Rochell,CB,LA,6,49.5,27,,
Travon Walker,ED,JAX,17,58,897,,64.88064516
Nasir Adderley,S,LAC,17,62.2,884,,
Mike Hughes,CB,DET,13,59.9,561,,
Kris Boyd,CB,MIN,5,63.6,39,,
Darnell Savage,S,GB,16,47.5,819,,
Zayne Anderson,S,KC,1,70.2,1,,
Zack Baun,LB,NO,7,50.4,85,,
Johnathan Abram,S,SEA,14,49.1,608,,
Akeem Davis-Gaither,LB,CIN,19,64.2,250,,
Jamel Dean,CB,TB,15,77.9,884,,
Tae Hayes,CB,NE,6,53.8,70,,
Carlos Dunlap,ED,KC,20,64.7,675,,
Blake Cashman,LB,HST,14,54,149,,
Tae Crowder,LB,PIT,12,29.6,445,,
Jonas Griffith,LB,DEN,9,52.9,336,,
Tanner Muse,LB,SEA,7,80.3,124,,
Frank Clark,ED,KC,18,64,884,,
Josh Thomas,S,ARZ,2,71.9,14,,
Austin Bryant,ED,DET,9,51.2,207,,
Josiah Bronson,DI,MIA,1,59.3,5,,
T.J. Smith,DI,MIN,1,72,22,,
Chris Jones,DI,KC,20,92.3,1079,,
Quinton Bell,ED,ATL,4,55.5,61,,
Darryl Johnson,ED,SEA,3,57.5,52,,
Khalen Saunders,DI,KC,19,58.5,511,,
Troy Reeder,LB,LAC,9,77.7,63,,
Camryn Bynum,S,MIN,18,58.7,1232,,
Mike Danna,ED,KC,16,67.4,556,,
Derrick Nnadi,DI,KC,20,37,444,,
Matthew Adams,LB,CHI,10,69.6,189,,
George Karlaftis,ED,KC,20,50.2,828,,61.215
Jordan Kunaszyk,LB,CLV,9,52.4,101,,
Aaron Donald,DI,LA,11,90.5,615,,
Eric Wilson,LB,GB,3,56.3,36,,
Cullen Gillaspia,FB,SEA,1,60,1,,
Andrew Dowell,LB,NO,2,71.2,2,,
Curtis Bolton,LB,LV,2,60,2,,
Armani Rogers,TE,WAS,1,59.9,1,,
Justin Layne,CB,CHI,1,66.4,11,,
Tershawn Wharton,DI,KC,5,55.2,149,,
Demetric Felton Jr.,WR,CLV,1,70.2,1,,
L'Jarius Sneed,CB,KC,20,77.7,1243,,
Rico Dowdle,HB,DAL,1,60,1,,
Ko Kieft,TE,TB,1,60,1,,
Alohi Gilman,S,LAC,18,58.5,548,,
Trevon Diggs,CB,DAL,19,67.6,1263,,
Trayvon Mullen,CB,DAL,7,48.3,160,,
Leonard Floyd,ED,LA,17,65.7,932,,
Divine Deablo,LB,LV,8,58.4,463,,
Greg Dortch,WR,ARZ,2,69.6,2,,
Marquez Callaway,WR,NO,1,60,1,,
Bryce Hall,CB,NYJ,2,41.8,15,,
Jonathan Kongbo,ED,DEN,3,48.8,60,,
Amen Ogbongbemiga,LB,LAC,2,84.8,14,,
Isaiah Simmons,CB,ARZ,17,67.9,897,,
K'Von Wallace,S,PHI,18,61.4,178,,
Cameron Dantzler,CB,MIN,10,63.1,505,,
Antoine Winfield Jr.,S,TB,14,78.7,833,,
A'Shawn Robinson,DI,LA,10,64.4,360,,
Marquise Copeland,DI,LA,15,67.3,343,,
Shemar Jean-Charles,CB,GB,2,62.2,3,,
Keir Thomas,ED,LA,8,56.3,71,,
Chris Jackson,CB,TEN,1,36.2,24,,
Cam Brown,LB,NYG,1,57,3,,
Daniel Thomas,S,JAX,3,52.3,32,,
Krys Barnes,LB,GB,6,46.7,141,,
Tyler Coyle,S,DAL,1,56.7,21,,
Shaun Bradley,LB,PHI,2,65.7,2,,
Justin Strnad,LB,DEN,2,63.1,2,,
Jonah Williams,DI,LA,13,53.6,342,,
Greg Gaines,DI,LA,16,59.1,731,,
Michael Hoecht,ED,LA,14,65.4,409,,61.7
J.C. Jackson,CB,LAC,5,28.7,244,,
Shaka Toney,ED,WAS,7,72,52,,
Chase Lucas,CB,DET,3,35.5,6,,
Khalil Mack,ED,LAC,18,71.9,921,,
Avery Williams,HB,ATL,1,59.9,1,,
Kristian Fulton,CB,TEN,11,63.8,652,,
Rashan Gary,ED,GB,9,82.9,378,,
Dicaprio Bootle,CB,KC,2,47.9,11,,
Khalid Kareem,ED,IND,4,70.1,61,,
Kyle Van Noy,ED,LAC,18,67.7,784,,
Charvarius Ward,CB,SF,20,81,1144,,
Brandon Jones,S,MIA,7,61.1,347,,
Brady Breeze,S,DET,1,62.1,4,,
Devin White,LB,TB,18,43.7,1144,,
Jeremy Chinn,S,CAR,11,54.9,684,,
Nolan Turner,S,TB,1,70.2,1,,
Mack Wilson Sr.,LB,NE,12,47.1,234,,
Richie Grant,S,ATL,17,64.9,1117,,
Joe Bachie,LB,CIN,3,78.4,14,,
Greedy Williams,CB,CLV,7,52.2,105,,
Damar Hamlin,S,BUF,15,61.4,845,,
Myles Bryant,CB,NE,17,58.4,689,,
DaMarcus Fields,CB,NO,1,37,1,,
Christian Holmes,CB,WAS,4,47.1,104,,
Josh Metellus,S,MIN,14,85.1,261,,
Milo Eifler,LB,WAS,2,50.8,7,,
Carter Coughlin,LB,NYG,2,31.1,6,,
Nick Niemann,LB,LAC,2,67,8,,
Morgan Fox,DI,LAC,18,63.6,615,,
William Kwenkeu,LB,MIN,2,74.9,13,,
Kobe Jones,ED,CAR,2,32.1,18,,
Ben Stille,DI,CLV,7,62,84,,
Sam Franklin Jr.,S,CAR,4,75.9,88,,
Jake Hansen,LB,HST,11,69.1,205,,
Rayshad Nichols,DI,BLT,1,75.1,15,,
Quincy Roche,ED,NYG,2,67.6,6,,
Derrek Tuszka,ED,LAC,12,48.1,123,,
Elerson Smith,ED,NYG,4,29.9,14,,
Breiden Fehoko,DI,LAC,10,49.2,308,,
Sebastian Joseph-Day,DI,LAC,17,51,758,,
Tyler Hall,CB,LV,7,86.9,218,,
Chris Rumph II,ED,LAC,16,48.5,305,,60.2974359
Byron Murphy Jr.,CB,ARZ,9,66.7,595,,
Chandler Jones,ED,LV,15,63.8,783,,
Andrew Billings,DI,LV,14,76.4,478,,
T.J. Carter,DI,LA,2,70.6,5,,
Clelin Ferrell,ED,LV,16,63.8,492,,
Rodarius Williams,CB,NYG,3,58.1,147,,
Will Bradley-King,ED,WAS,1,33.7,24,,
Maxx Crosby,ED,LV,17,90.1,1082,,
Bilal Nichols,DI,LV,17,55.5,801,,
Jerry Tillery,DI,LV,15,49.8,448,,
Malcolm Koonce,ED,LV,13,47.7,68,,60.95
Melvin Ingram III,ED,MIA,18,71,536,,
John Jenkins,DI,MIA,17,58.5,270,,
Saivion Smith,CB,DET,1,74.6,2,,
Elijah Riley,S,PIT,3,62,20,,
Innis Gaines,CB,GB,3,49.7,44,,
Kyzir White,LB,PHI,20,67.2,953,,
Elijah Garcia,DI,DEN,2,59.2,18,,
Rashard Lawrence,DI,ARZ,5,64.1,112,,
Andrew Van Ginkel,ED,MIA,17,72.8,357,,
Raekwon Davis,DI,MIA,17,43.6,611,,
Bradley Chubb,ED,MIA,17,65.5,770,,
Christian Wilkins,DI,MIA,18,82.2,1022,,
Jack Heflin,DI,NYG,1,30.4,23,,
Jaelan Phillips,ED,MIA,18,88.8,901,,
Zach Sieler,DI,MIA,18,73.4,944,,64.2
Danielle Hunter,ED,MIN,18,87.1,966,,
Luke Masterson,LB,LV,11,30.8,344,,
Terrell Burgess,S,NYG,3,58.6,82,,
Essang Bassey,CB,DEN,10,52.8,222,,
Jordan Fuller,S,LA,3,60.5,90,,
Roderick Perry II,DI,CLV,2,57.8,40,,
Eyioma Uwazurike,DI,DEN,8,63,165,,
Zech McPhearson,CB,PHI,11,53.6,112,,
Eric Banks,ED,ARZ,1,67.3,14,,
Brandon Stephens,CB,BLT,14,52.5,452,,
Trayveon Williams,HB,CIN,1,60,1,,
Ke'Shawn Vaughn,HB,TB,1,60,1,,
Devine Ozigbo,HB,DEN,1,60,1,,
Tyree Jackson,TE,PHI,1,59.9,1,,
Josiah Deguara,TE,GB,1,57.2,1,,
Andrew Beck,FB,DEN,1,60,1,,
Scott Miller,WR,TB,1,70.2,1,,
KaVontae Turpin,WR,DAL,1,70.2,1,,
Tyler Davis,TE,GB,1,59.9,1,,
